message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment
3/18國際早餐日的相簿出爐囉！全台民眾不分東西南北一起享受美好早餐、還有可愛造型的麥當勞服務員，快來一睹不一樣的麥當勞，用超強氣勢為你早安 加油！,https://www.facebook.com/mcdonalds.tw/photos/a.530522423657113.1073741826.101615286547831/530600820315940/?type=3,https://www.facebook.com/mcdonalds.tw/posts/530634446979244,2013-03-20T19:00:00+0000,photo,3/18 國際早餐日花絮,101615286547831_530600820315940,23,45,NONE,45,false,false,chronological,2,false
"掏出皮夾，算算哪張卡省最多？
答案是…2013全新『甜心卡』！數十種經典美味任你配，通通買A送B，佛心來的好卡，不買嗎？
http://bitly.com/dessertcard",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/529479827094706/?type=3,https://www.facebook.com/mcdonalds.tw/posts/529479837094705:0,2013-03-20T04:09:48+0000,photo,Timeline Photos,101615286547831_529479827094706,1862,10357,NONE,10357,false,false,chronological,530,false
"<國際早餐日即時報導>

賀！全球500萬人共襄盛舉---國際早餐日終於圓滿達成！
短短三小時內，
台灣有超過34萬人不分你我，一起快樂吃早餐！
感謝大家熱情參與,以後每天都要記得吃早餐,
包你整天活力滿滿！

早安 加油：）",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/528642190511803/?type=3,https://www.facebook.com/mcdonalds.tw/posts/528642200511802:0,2013-03-18T04:07:20+0000,photo,Timeline Photos,101615286547831_528642190511803,83,5825,NONE,5825,false,false,chronological,116,false
"<國際早餐日即時報導>

AM 09：00，滿福堡持續送出中！
全國的同學,老師,同事,老闆,運將,警察,阿公,阿嬤都來吃早餐，享受活力滿滿的早晨！

如果你還沒吃早餐，到家理附近或公司旁的麥當勞，
來份現做的滿福堡，對自己說聲早安加油！",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/528584027184286/?type=3,https://www.facebook.com/mcdonalds.tw/posts/528584047184284:0,2013-03-18T01:10:39+0000,photo,Timeline Photos,101615286547831_528584027184286,86,3759,NONE,3759,false,false,chronological,150,false
"<國際早餐日即時報導>

AM 07:25,起床了嗎?

店裡店外一片熱絡
服務員跳著熱力四射的早安加油操,
早起的人們 大排長龍,等候美味的早餐上桌,

剛才,我們遞出了第一個熱騰騰的滿福堡!
現在就出門到附近的麥當勞吧,1000個滿福堡,為你的早餐加油!",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/528554793853876/?type=3,https://www.facebook.com/mcdonalds.tw/posts/528554803853875:0,2013-03-17T23:24:04+0000,photo,Timeline Photos,101615286547831_528554793853876,198,6848,NONE,6848,false,false,chronological,209,false
,https://www.facebook.com/mcdonalds.tw/photos/a.359393464103344.76426.101615286547831/528403567202332/?type=3,https://www.facebook.com/mcdonalds.tw/posts/528403600535662,2013-03-17T16:08:12+0000,photo,麥當勞's cover photo,101615286547831_528403567202332,197,2339,NONE,2339,false,false,chronological,177,false
"倒數9小時…
別再東摸西摸囉～趕快配好衣服、調好鬧鐘，
準備上床早早睡…

明早七點準時，以最從容的姿態入列，
到麥當勞 吃 早 餐。

Are You Ready？
3/18國際早餐日，麥當勞免費請吃滿福堡",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/528360283873327/?type=3,https://www.facebook.com/mcdonalds.tw/posts/528360327206656:0,2013-03-17T14:00:20+0000,photo,Timeline Photos,101615286547831_528360283873327,617,6631,NONE,6631,false,false,chronological,319,false
"看17歲陽光高校女生如何用一根繩子戰勝全世界！
""早安加油讚""最終場，台北壓軸隊伍今晚公開！
http://bit.ly/Y6vLD2",http://youtu.be/jdGqWVRuA-Y,https://www.facebook.com/mcdonalds.tw/posts/328418897280713,2013-03-16T14:00:02+0000,video,台北 拔一個夢想,101615286547831_328418897280713,14,461,NONE,461,false,false,chronological,7,false
,https://www.facebook.com/mcdonalds.tw/photos/a.359393464103344.76426.101615286547831/527446130631409/?type=3,https://www.facebook.com/mcdonalds.tw/posts/527446153964740,2013-03-15T16:02:51+0000,photo,麥當勞's cover photo,101615286547831_527446130631409,127,1167,NONE,1167,false,false,chronological,57,false
"台中，早安加油！

“早安加油讚 全台串起來”活動，累積讚數正往百萬邁進！
http://bit.ly/YVO3LF

有協和國小足球隊的台中，目前以61,268個讚名列第三，
不管你住在台中、故鄉在台中、嫁到台中、還是路過台中，
都可以為台中按讚，為早晨加油！",http://youtu.be/z-ImdUkzSsY,https://www.facebook.com/mcdonalds.tw/posts/144006529102091,2013-03-15T14:54:20+0000,video,台中 超萌常勝軍,101615286547831_144006529102091,14,672,NONE,672,false,false,chronological,8,false
