message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length
"想吃就吃，別再ㄍㄧㄥ！
最新推出的《#柚香薄脆雞烤餅》好吃熱賣中，就缺你這張嘴～
已經吃過的粉絲請、喊、又！

>>別等了，上網訂晚餐啦：http://goo.gl/VZMUC4
>>還沒拿到嚐鮮券？http://goo.gl/up1cBR",https://www.youtube.com/watch?v=T4EGZriq1rU,https://www.facebook.com/kfctaiwan/posts/772811066124791,2014-10-01T09:30:01+0000,video,肯德基柚香薄脆雞烤餅-想吃就吃篇,324273577645211_772811066124791,1,120,NONE,120,false,false,ranked,2,false,,,,,
"熱情粉絲們，選邊站的時候到了！（霸氣）
#金黃薄脆雞 對戰 #義式香草紙包雞，你愛吃哪道？

>>不選了！乾脆網路訂餐通通包回來吃：http://goo.gl/6Oiq5B",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/770001466405751/?type=3,https://www.facebook.com/kfctaiwan/posts/772823949456836:0,2014-10-01T02:00:00+0000,photo,Timeline Photos,324273577645211_770001466405751,3,455,NONE,455,false,false,ranked,24,false,,,,,
"肯德基特有的捲餅系列新出擊！嶄新推出《 #柚香薄脆雞烤餅 》，讓你享受清爽新鮮食材與多層次的美味，激省午晚餐餐只要99元！

其他組合：
＊重量級XL套餐：$155
＊四人分享餐：$399

＞＞立即網路訂餐：http://goo.gl/P8rVgO
＞＞馬上搶嚐鮮券：http://goo.gl/up1cBR",https://www.facebook.com/kfctaiwan/photos/a.327640700641832.75606.324273577645211/772364859502745/?type=3,https://www.facebook.com/kfctaiwan/posts/772364969502734,2014-09-30T01:59:03+0000,photo,KFC's cover photo,324273577645211_772364859502745,3,264,NONE,264,false,false,ranked,5,false,,,,,
"秋～意～濃～
身邊缺暖男沒關係！讓 #肯德基 照顧你！明天起早餐時段【免費】招待熱呼呼美式咖啡一杯，溫暖你的每一天～數量有限，趕快行動！

>>更多推薦看這裡：http://goo.gl/S1WKXq
>>找最近的肯德基早餐餐廳：http://goo.gl/x6iGSG

肯德基早餐．開啟你活力的每一天",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/771862039553027/?type=3,https://www.facebook.com/kfctaiwan/posts/772094396196458:0,2014-09-29T14:30:00+0000,photo,Timeline Photos,324273577645211_771862039553027,15,327,NONE,327,false,false,ranked,8,false,,,,,
"祝福香港的朋友們人人平安、幸福！
(誠心所願)

#天佑香港",,https://www.facebook.com/kfctaiwan/posts/771904806215417,2014-09-29T04:00:54+0000,status,,324273577645211_771904806215417,,220,NONE,220,false,false,ranked,7,false,,,,,
"內行的看這裡，新鮮的來囉～
#肯德基 新推出《#柚香薄脆雞烤餅》，就想給妳清爽的新選擇！9/30起，用這張嚐鮮只要$89～
趕快用力分享出去！

尋找其他好料的：http://goo.gl/kZ3QwS",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/770000713072493/?type=3,https://www.facebook.com/kfctaiwan/posts/771869179552313:0,2014-09-29T02:00:00+0000,photo,Timeline Photos,324273577645211_770000713072493,99,601,NONE,601,false,false,ranked,27,false,,,,,
"$39早餐可以吃什麼？
我知道！ #肯德基 秋天清爽招待，有菜有肉又有蛋的 #火腿鮮蔬蛋烤餅 ！
限期供應，售完為止，立刻分享！

>>優惠券去這裡：http://goo.gl/vf4Jxs",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/770642463008318/?type=3,https://www.facebook.com/kfctaiwan/posts/772314586174439:0,2014-09-26T04:00:00+0000,photo,Timeline Photos,324273577645211_770642463008318,26,369,NONE,369,false,false,ranked,6,false,,,,,
"T.G.I.F.週末要來啦！！
今晚就約三五好友來個小轟啪，點個 #紙包雞 歡聚餐一起慶祝一下～
立即點餐：http://goo.gl/neNswy",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/767010283371536/?type=3,https://www.facebook.com/kfctaiwan/posts/770525836353314:0,2014-09-26T02:30:00+0000,photo,Timeline Photos,324273577645211_767010283371536,2,360,NONE,360,false,false,ranked,5,false,,,,,
"#99群星餐 最後倒數計時中！
Hey You！還沒吃到99群星餐期間限定的 #辣味雞腿堡 嗎？
最後一週，聽過、看過、不能再錯過！

＊馬上找最近的 #肯德基 在哪裡→http://goo.gl/f9YJCW",,https://www.facebook.com/kfctaiwan/posts/766934660045765,2014-09-25T02:00:01+0000,status,,324273577645211_766934660045765,,158,NONE,158,false,false,ranked,8,false,,,,,
"安打、安打、全壘打！
吃雞、吃雞、好刺激！
今晚快揪人一起吃炸雞，一起幫中華隊「__ __」！知道空格要填什麼的熱血粉絲請、作、答！

#蜜汁烙烤雞腿 #仁川亞運 #中華成棒  #ctba #incheon2014ag #亞運 #中華隊",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/767001913372373/?type=3,https://www.facebook.com/kfctaiwan/posts/769648979774333:0,2014-09-24T10:20:00+0000,photo,Timeline Photos,324273577645211_767001913372373,3,462,NONE,462,false,false,ranked,6,false,,,,,
"全民總動員！一起執行神蜜任務！
Step 1：外帶一份 #蜜汁烙烤雞腿 XL餐
Step 2：下班下課回家看 #仁川亞運 轉播
Step 3：跟團長一起留言祝福菲律賓隊：「慢走～不送」！

網路訂餐，回家就開吃：http://goo.gl/XZHZX5

#中華成棒 #ctba #incheon2014ag #亞運 #中華隊",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/766999906705907/?type=3,https://www.facebook.com/kfctaiwan/posts/769143989824832:0,2014-09-23T09:20:01+0000,photo,Timeline Photos,324273577645211_766999906705907,10,368,NONE,368,false,false,ranked,2,false,,,,,
"99群星餐【倒數7天】囉！
還沒享受到，$99吃五樣口味的趕緊趁現在。
還有還有～別忘了找錢喔！
＃肯德基　",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/768998283172736/?type=3,https://www.facebook.com/kfctaiwan/posts/769000173172547:0,2014-09-23T01:52:00+0000,photo,Timeline Photos,324273577645211_768998283172736,86,1006,NONE,1006,false,false,ranked,23,false,,,,,
"看新聞覺得各地風大雨大好可怕...團長好擔心！
颱風天大家都還好嗎？快來報平安！
#天佑台灣",,https://www.facebook.com/kfctaiwan/posts/768036609935570,2014-09-21T09:58:02+0000,status,,324273577645211_768036609935570,,395,NONE,395,false,false,ranked,10,false,,,,,
"因應鳳凰颱風襲台，為保障外送服務人員人身安全，如地方縣市政府宣布停止上班時，該區域的肯德基將暫停外送服務，造成不便，還請見諒～　

＊即時查詢停班停課資訊：http://typhoon.ws/lifeinfo/stop_working

每位員工都是肯德基心頭的一塊寶，謝謝貼心的你陪我們一起守護他們的安全！

團長小叮嚀：大家在 #颱風天 不要亂亂跑喔！希望大家都平平安安！

#天佑台灣",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/767022850036946/?type=3,https://www.facebook.com/kfctaiwan/posts/767527243319840:0,2014-09-20T11:27:23+0000,photo,Timeline Photos,324273577645211_767022850036946,66,1881,NONE,1881,false,false,ranked,31,false,,,,,
"古人說：「秀才不出門，能知天下事」
團長說：「團長不出門，也能吃肯德基！」
考考你，為什麼？
=>點這裡看答案：http://goo.gl/NCIqhH",http://goo.gl/aD06eL,https://www.facebook.com/kfctaiwan/posts/763658350373396,2014-09-20T02:30:01+0000,link,肯德基現食專送網路訂餐,324273577645211_763658350373396,1,98,NONE,98,false,false,ranked,4,false,,,,,
"#仁川亞運 開戰！粉絲一起動手！肯德基為你開火！
網路訂餐一指搞定，來份烤炸雙享餐，讓我們轟”＿”香港隊！

約好囉！中午叫外送，邊吃邊幫中華隊加油：http://goo.gl/0YqgVr

#蜜汁烙烤雞腿 #中華成棒 #ctba #incheon2014ag #中華隊",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/766991243373440/?type=3,https://www.facebook.com/kfctaiwan/posts/768709856534912:0,2014-09-19T04:00:00+0000,photo,Timeline Photos,324273577645211_766991243373440,4,443,NONE,443,false,false,ranked,1,false,,,,,
"咚咚鏘～咚咚鏘～團長來報好消息！
肯德基泰山明志餐廳新開張，即日起到10/31都有開幕送好康歡慶優惠，超人氣的「＿＿＿＿＿」餐超划算，知道答案的請、填、空！

#優惠 #期間限定 #新開幕",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/766883080050923/?type=3,https://www.facebook.com/kfctaiwan/posts/766887606717137:0,2014-09-19T01:30:54+0000,photo,Timeline Photos,324273577645211_766883080050923,21,467,NONE,467,false,false,ranked,25,false,,,,,
"中午就吃 #紙包雞 →紙包雞 #激省午晚餐＄119
中午吃飽飽才有活力繼續戰鬥啊！！！

想吃飽的粉絲，請、按、讚！！
愛吃肉的粉絲，請、分、享！！

紙包雞在這兒:http://goo.gl/IsJ7sS

#肯德基",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/763657797040118/?type=3,https://www.facebook.com/kfctaiwan/posts/766430930096138:0,2014-09-18T02:00:01+0000,photo,Timeline Photos,324273577645211_763657797040118,5,474,NONE,474,false,false,ranked,7,false,,,,,
"聰明的你，餐餐都要輕鬆省！
滿滿的KFC #優惠券，讓你吃好料又不擔心荷包大失血，還不快跟團長一起去A好康：http://goo.gl/0D56O4

#肯德基 #COUPON",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/763657920373439/?type=3,https://www.facebook.com/kfctaiwan/posts/765886550150576:0,2014-09-17T01:10:00+0000,photo,Timeline Photos,324273577645211_763657920373439,18,426,NONE,426,false,false,ranked,10,false,,,,,
"肯德基大人氣的 #重量級XL套餐 ，現在有四種餐型可供挑選啦～快告訴團長你最愛哪、一、組？
1. #蜜汁烙烤雞腿
2. #乳酪起司雞腿堡
3. #咔啦雞腿堡
4. #吮指雙雞

點我看仔細：http://goo.gl/ECak5o",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/763657567040141/?type=3,https://www.facebook.com/kfctaiwan/posts/765454970193734:0,2014-09-16T02:00:01+0000,photo,Timeline Photos,324273577645211_763657567040141,10,430,NONE,430,false,false,ranked,31,false,,,,,
"【美式經典全餐】周末限定
有多久沒有跟家人一起吃早餐了呢？
假日花一點點時間跟家人一起共享美味的早餐吧！

你們會重視每天的早餐嗎？　會的人請大喊：「我！」

點我點我:http://www.kfcclub.com.tw/",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/759983417407556/?type=3,https://www.facebook.com/kfctaiwan/posts/763513110387920:0,2014-09-12T01:00:00+0000,photo,Timeline Photos,324273577645211_759983417407556,1,337,NONE,337,false,false,ranked,1,false,,,,,
"弱水三千只取一瓢飲，套餐多種只點一份吃～

肯德基激省午晚餐，你最喜歡幾號餐？
1.咔啦雞腿堡餐
2.吮指雙雞餐
3.墨西哥莎莎霸王捲餐
4.雞米花田園沙拉餐
5.紐奧良烙烤雞腿堡餐
6.義式香草紙包雞餐
7.乳酪起司雞腿堡餐
8.金黃脆腿條餐
9.(新)蜜汁烙烤雞腿餐

點我點我:http://www.kfcclub.com.tw/",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/758857880853443/?type=3,https://www.facebook.com/kfctaiwan/posts/763091733763391:0,2014-09-11T02:00:01+0000,photo,Timeline Photos,324273577645211_758857880853443,17,412,NONE,412,false,false,ranked,40,false,,,,,
"【爺爺の視力測驗】
左看看、右看看，斑馬線請多看，在廁所別亂看。
來看看紅指標的爺爺在看哪裡呢？〈左？右？中間？〉

粉絲們、請、作、答！！

別看了，快叫外送吧！http://goo.gl/nwv26J",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/758857477520150/?type=3,https://www.facebook.com/kfctaiwan/posts/762581977147700:0,2014-09-10T02:00:00+0000,photo,Timeline Photos,324273577645211_758857477520150,5,275,NONE,275,false,false,ranked,23,false,,,,,
"肯德基爺爺【124歲生日】，送、蛋、撻。
今天9/9來各餐廳吃99群星餐的帥哥、正妹，就請你吃原味蛋撻1顆
每間餐廳，限100顆喔！

粉絲們，大喊肯德基爺爺：生、日、快、樂、吧！

點我點我:http://www.kfcclub.com.tw/",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/758857074186857/?type=3,https://www.facebook.com/kfctaiwan/posts/762102120529019:0,2014-09-09T02:00:00+0000,photo,Timeline Photos,324273577645211_758857074186857,49,804,NONE,804,false,false,ranked,38,false,,,,,
"話說爺爺9/9生日，當天買＄99群星就會有神秘小禮物招待喔！
讓我們一起歡慶爺爺 生日快樂～  

來猜猜KFC爺爺，到底幾歲了呢？？   提示：12X

點我點我:http://www.kfcclub.com.tw/",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/758847057521192/?type=3,https://www.facebook.com/kfctaiwan/posts/761663113906253:0,2014-09-08T02:00:01+0000,photo,Timeline Photos,324273577645211_758847057521192,76,934,NONE,934,false,false,ranked,46,false,,,,,
"月兒圓、蛋撻甜～中秋能不能只出一張嘴？
肯德基推出中秋懶人餐，＄500有找、美味趁早！

點我點我:http://www.kfcclub.com.tw/",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/754631891276042/?type=3,https://www.facebook.com/kfctaiwan/posts/761068220632409:0,2014-09-07T02:00:01+0000,photo,Timeline Photos,324273577645211_754631891276042,2,437,NONE,437,false,false,ranked,6,false,,,,,
"肯德基預購優惠開跑啦！好禮三重送　送　 送
第一重：兩天前預購 滿$799送【原味蛋撻禮盒+上校雞塊分享盒】
第二重：網路訂餐會員獨享 滿$700送百事可樂1瓶
第三重：訂外送就送【外送優惠券】

網路訂餐：https://www.4128000.com.tw/index_kfc.aspx",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/758858920853339/?type=3,https://www.facebook.com/kfctaiwan/posts/760734917332406:0,2014-09-06T16:00:01+0000,photo,Timeline Photos,324273577645211_758858920853339,,206,NONE,206,false,false,ranked,0,false,,,,,
"假日就是要在家睡到飽，再訂肯德基【超人氣享樂餐】吃到飽！
現在炸雞還可以換成新品蜜汁烙烤雞腿~
多種美味兩天前預購外送外帶，滿額還送禮券。

想訂的粉絲請、按、讚！

網路訂餐：https://www.4128000.com.tw/index_kfc.aspx",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/754631307942767/?type=3,https://www.facebook.com/kfctaiwan/posts/760320534040511:0,2014-09-06T02:00:00+0000,photo,Timeline Photos,324273577645211_754631307942767,4,415,NONE,415,false,false,ranked,5,false,,,,,
"十八啦！十八塊雞最棒啦！
中秋派對絕對不能少這頓【18塊雞吮指派對餐】
有烤有炸有拼盤，兩天前預購外送外帶，滿額還送禮券，放假不煩惱，肯德基幫你款好好。
派對救星請打4128000，網路訂餐加入會員，滿$700還送可樂唷！

網路訂餐：https://www.4128000.com.tw/index_kfc.aspx",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/754630877942810/?type=3,https://www.facebook.com/kfctaiwan/posts/759790787426819:0,2014-09-05T02:00:01+0000,photo,Timeline Photos,324273577645211_754630877942810,18,489,NONE,489,false,false,ranked,6,false,,,,,
"【團長Ｘ 好笑刺青店 聯手出擊】
大卸兩塊
鞭辟入裡
高溫禁閉

肯德基 蜜汁烙(落)烤(跑)雞腿  
刻骨銘心的滋味  吃過才能體會",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/759236587482239/?type=3,https://www.facebook.com/kfctaiwan/posts/759322670806964:0,2014-09-04T06:00:01+0000,photo,Timeline Photos,324273577645211_759236587482239,3,273,NONE,273,false,false,ranked,2,false,433776330004232,好笑刺青店,page,5,5
"涼風有信、秋月無邊，任我飢餓的情緒好比度日如年～
現在就撥打4128000，來份【紐奧良手扒雞同樂餐】～
和團長一起放鬆的大吃炸雞烤雞蛋撻，今年就過個美式中秋吧！

點我點我:http://www.kfcclub.com.tw/",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/754630451276186/?type=3,https://www.facebook.com/kfctaiwan/posts/759218510817380:0,2014-09-04T02:00:01+0000,photo,Timeline Photos,324273577645211_754630451276186,13,485,NONE,485,false,false,ranked,7,false,,,,,
"【99群星】變成【98群星】了！
到底是少哪一塊呢？？

眼尖的粉絲，說出你的答案吧！！

點我點我:http://www.kfcclub.com.tw/",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/757525807653317/?type=3,https://www.facebook.com/kfctaiwan/posts/758559230883308:0,2014-09-02T16:00:01+0000,photo,Timeline Photos,324273577645211_757525807653317,13,473,NONE,473,false,false,ranked,314,false,,,,,
"下午三點鐘，有點想放空，請看掰掰啾啾神來一筆

「想吃肯德基＿ ＿烙烤雞腿，腦公錯了嗎？」

知道烤雞腿是什麼口味的粉絲請、作、答！",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/757701474302417/?type=3,https://www.facebook.com/kfctaiwan/posts/758373514235213:0,2014-09-02T07:00:01+0000,photo,Timeline Photos,324273577645211_757701474302417,4,265,NONE,265,false,false,ranked,16,false,,,,,
"團長來統計一下，喜歡吃烤雞的粉絲請喊：「又！」

烹雞專家肯德基聽到粉絲心聲，推出了獨家【蜜汁烙烤雞腿】，激省午晚餐時段，就是要來一份甜而不膩、香味超犯規的烤雞！

點我點我:http://www.kfcclub.com.tw/",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/754627184609846/?type=3,https://www.facebook.com/kfctaiwan/posts/758274720911759:0,2014-09-02T02:00:00+0000,photo,Timeline Photos,324273577645211_754627184609846,8,378,NONE,378,false,false,ranked,23,false,,,,,
"做餓夢的時候，先Buy肯德基！全家餐主食多了新選擇！
【New】蜜汁烙烤雞腿、咔啦脆雞、金黃薄脆雞、義式香草紙包雞，種類豐富不單調、美味桶桶任您選～

覺得肯德基全家餐越來越棒的粉絲請、按、讚！

點我點我:http://www.kfcclub.com.tw/",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/754626747943223/?type=3,https://www.facebook.com/kfctaiwan/posts/757867614285803:0,2014-09-01T16:00:01+0000,photo,Timeline Photos,324273577645211_754626747943223,13,355,NONE,355,false,false,ranked,6,false,,,,,
