message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length,message_tags/1/id,message_tags/1/name,message_tags/1/type,message_tags/1/offset,message_tags/1/length
"麥當勞慶生大請客！
這星期六下午2點到4點來麥當勞，和慶生相框拍照，打卡寫下『麥當勞生日快樂』，就請你吃蛋捲冰淇淋喔！
http://bit.ly/30anniversary",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/694764637232890/?type=3,https://www.facebook.com/mcdonalds.tw/posts/695074737201880:0,2014-01-16T02:00:00+0000,photo,Timeline Photos,101615286547831_694764637232890,1520,4705,NONE,4705,false,false,chronological,80,false,,,,,,,,,,
"再沒抽獎運，也強迫中獎！
買招財福堡套餐，就送好運紅包，包包有禮，不中獎真的不可能！！
http://bit.ly/mcdcny",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/693346570708030/?type=3,https://www.facebook.com/mcdonalds.tw/posts/693350244040996:0,2014-01-13T02:50:01+0000,photo,Timeline Photos,101615286547831_693346570708030,61,1494,NONE,1494,false,false,chronological,39,false,,,,,,,,,,
"尾牙快到了，招財進寶就要元寶脆薯，外皮金黃薄脆，內裡鬆軟~超美味，就讓元寶脆薯，幫你大補財氣！
http://bit.ly/mcdcny",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/691604194215601/?type=3,https://www.facebook.com/mcdonalds.tw/posts/691604637548890:0,2014-01-09T11:23:12+0000,photo,Timeline Photos,101615286547831_691604194215601,107,2391,NONE,2391,false,false,chronological,40,false,,,,,,,,,,
"冷冷天，做什麼最幸福？
嚐嚐紅豆派吧！酥脆咬一口，流淌出熱呼呼的紅豆內餡，比泡湯更簡單、比被窩更溫暖！
http://bit.ly/redbeanpie",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/687573334618687/?type=3,https://www.facebook.com/mcdonalds.tw/posts/688026427906711:0,2014-01-03T02:43:42+0000,photo,Timeline Photos,101615286547831_687573334618687,88,1678,NONE,1678,false,false,chronological,37,false,,,,,,,,,,
ㄟ！這家麥當勞的客人怎麼都是卡通人物？原來是台灣第一家麥當勞民生店，正舉辦30周年玩具特展，經典玩具屋裡擺滿陪你長大的玩具，超令人懷念，快來參觀！,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/687563201286367/?type=3,https://www.facebook.com/mcdonalds.tw/posts/687563391286348:0,2014-01-02T08:57:34+0000,photo,Timeline Photos,101615286547831_687563201286367,49,1478,NONE,1478,false,false,chronological,28,false,,,,,,,,,,
"2014第一天，怎樣求今年加薪的好兆頭？
吃個『招財福堡』套餐吧！不但有黑胡椒醬的辛香過癮，還送好運紅包，包包有禮，讓今年~招財進飽喔！
http://bit.ly/mcdcny",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/686560288053325/?type=3,https://www.facebook.com/mcdonalds.tw/posts/686721238037230:0,2014-01-01T02:30:01+0000,photo,Timeline Photos,101615286547831_686560288053325,158,1595,NONE,1595,false,false,chronological,80,false,,,,,,,,,,
"High完跨年，人山人海散不掉，不如續攤吧！元旦當天 1/1凌晨4點到早上10點半，只要在麥當勞打卡「早安加油」，新年第一杯咖啡免費喝，一起在咖啡香中迎接日出的感動！
http://bit.ly/newscoffee",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/683939331648754/?type=3,https://www.facebook.com/mcdonalds.tw/posts/686133671429320:0,2013-12-31T02:00:00+0000,photo,Timeline Photos,101615286547831_683939331648754,1777,20135,NONE,20135,false,false,chronological,100,false,,,,,,,,,,
跨年夜倒數，手都凍僵囉，還好有麥當勞大薯買1送1，讓你幫朋友準備熱騰騰的大薯，吃在嘴裡，暖在心裡，讓跨年更感動！優惠期間：民國102年12月27日晚間10點~103年1月2日凌晨4點  http://bit.ly/friesbogo,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/683898834986137/?type=3,https://www.facebook.com/mcdonalds.tw/posts/683899621652725:0,2013-12-27T07:23:55+0000,photo,Timeline Photos,101615286547831_683898834986137,3361,24039,NONE,24039,false,false,chronological,447,false,,,,,,,,,,
"霹靂辣，全台好評火辣延燒，吃一口，就像雷神在你嘴裡發威~超霹靂，小心吃一口就愛上！限時供應到12/31，天啊！以後吃不到『霹靂辣鷄腿堡』和『霹靂辣趣飯捲』怎麼辦？
http://bit.ly/RedPeri",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/682370061805681/?type=3,https://www.facebook.com/mcdonalds.tw/posts/682809121761775:0,2013-12-25T02:00:01+0000,photo,Timeline Photos,101615286547831_682370061805681,25,803,NONE,803,false,false,chronological,16,false,,,,,,,,,,
聖誕快樂！祝大家今晚和最親愛的朋友在一起，無論交換禮物或玩趴踢，都能得到心中渴望已久的禮物，和最要緊的…滿滿滿滿的愛 <3,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/682020198507334/?type=3,https://www.facebook.com/mcdonalds.tw/posts/682311641811523:0,2013-12-24T02:00:00+0000,photo,Timeline Photos,101615286547831_682020198507334,35,1070,NONE,1070,false,false,chronological,6,false,,,,,,,,,,
"冷冷冬日，想和Hello Kitty一起玩雪？
麥當勞快樂兒童餐推出Hello Kitty聖誕限定版，陪你駕雪橇、玩雪花，想像在北海道看雪花片片，歡度聖誕假期！
http://bit.ly/wintertoy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/681835538525800/?type=3,https://www.facebook.com/mcdonalds.tw/posts/681903885185632:0,2013-12-23T08:00:00+0000,photo,Timeline Photos,101615286547831_681835538525800,124,1335,NONE,1335,false,false,chronological,25,false,,,,,,,,,,
"誰是最辣最有梗粉絲團？『辣味無雙PK戰』最後贏家揭曉…霹靂辣粉絲團長『馬來貘』勝過勁辣粉絲團長『掰掰啾啾』！
謝謝他們畫得超好笑，大家快留言恭喜來貘，也給『掰掰啾啾』讚聲鼓勵鼓勵吧！http://bit.ly/mcdSpicy",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/680182875357733/?type=3,https://www.facebook.com/mcdonalds.tw/posts/680183012024386:0,2013-12-20T03:39:11+0000,photo,Timeline Photos,101615286547831_680182875357733,5,760,NONE,760,false,false,chronological,10,false,,,,,,,,,,
