message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length
"每天早晨品嚐一杯義大利Lavazza香醇咖啡，讓美味咖啡香氣喚醒一天活力細胞！
搭配肯德基早餐天天省，#義式咖啡+#吮指嫩雞燒餅，套餐特價$59，限時限店供應中～
如此的早晨享受，你怎能錯過？
詳情請上→http://goo.gl/48pZDs",http://www.kfcclub.com.tw/event/2015breakfastsp/lavazza/index.html?utm_source=lavazza&utm_medium=facebookpost0318&utm_campaign=0312,https://www.facebook.com/kfctaiwan/posts/873947639344466,2015-03-18T13:30:01+0000,link,義大利Lavazza好咖啡遇上肯德基現做早餐，開啟活力每一天!,324273577645211_873947639344466,38,9820,NONE,9820,false,false,ranked,7,false,,,,,
"肯德基推出$99群星餐，一次擁有5種明星餐點，即使荷包再扁，也可以吃到最超值的美味!
超值組合，限時限量供應中! 詳情請上→http://goo.gl/37pLaQ",http://goo.gl/37pLaQ,https://www.facebook.com/kfctaiwan/posts/874461772626386,2015-03-17T03:01:59+0000,link,肯德基$99群星餐，物超所值，限時限量供應中!,324273577645211_874461772626386,58,2842,NONE,2842,false,false,ranked,89,false,,,,,
"省錢大發現，撇步報你知!

肯德基早餐天天省活動進行到""倒數""第二周嚕，

3/17-3/23限時推出吮指嫩雞燒餅套餐，熱騰騰燒餅加上新鮮雞腿肉，

配上一杯豆漿或是經典奶茶，讓你元氣滿滿一整天!

詳情請上→http://goo.gl/j1ahyq",http://www.kfcclub.com.tw/event/2015breakfastsp/?utm_source=facebookpost&utm_medium=weekfour0316&utm_campaign=0225,https://www.facebook.com/kfctaiwan/posts/873947179344512,2015-03-16T13:30:00+0000,link,省錢大發現，肯德基早餐天天省10元!,324273577645211_873947179344512,31,3825,NONE,3825,false,false,ranked,16,false,,,,,
"團長傳授振奮精神小撇步：週一大口吃蛋撻，這週天天都發達！
搭配 #優惠券 原味蛋撻禮盒(6入)只要$120！
趕快存下來、立即分享去！（手機出示圖片可立即兌換）
更多COUPON下載＞http://goo.gl/z2quWX

#蛋撻 #蛋塔 #肯德基 #折扣 #好康優惠",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/870437646362132/?type=3,https://www.facebook.com/kfctaiwan/posts/873754032697160:0,2015-03-16T03:30:03+0000,photo,Timeline Photos,324273577645211_870437646362132,97,438,NONE,438,false,false,ranked,20,false,,,,,
"週末出遊，野餐必備肯德基，無論朋友多大群都夠吃！
ヾ(●´▽｀●)ノ
＞#網路訂餐：http://goo.gl/4GlqjC　（加入會員還享首購禮）
＞#手機點餐：http://goo.gl/0MnBji
＞找附近 #肯德基：http://goo.gl/W7VFXR

#picnic #野餐",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/870433486362548/?type=3,https://www.facebook.com/kfctaiwan/posts/872844196121477:0,2015-03-15T02:20:03+0000,photo,Timeline Photos,324273577645211_870433486362548,4,261,NONE,261,false,false,ranked,3,false,,,,,
"老師在講你們有沒有在聽？
#三重起司金豬堡 加可樂搭配優惠券只要$99！
快去買！快去買！快去買！（因為很重要所以說三次）

＞下載更多優惠券：http://goo.gl/sxnzQN",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/864428190296411/?type=3,https://www.facebook.com/kfctaiwan/posts/872038739535356:0,2015-03-14T03:10:03+0000,photo,Timeline Photos,324273577645211_864428190296411,20,230,NONE,230,false,false,ranked,2,false,,,,,
"T.G.I.F.! Happy Friday又來咯～
快快樓上揪樓咖，阿爸揪阿嬤，厝邊揪頭尾，歡樂開動啦！
YO~你想吃哪套餐？

＞#網路訂餐：http://goo.gl/Zejw0T
＞#手機點餐：http://goo.gl/dB1Oki
（加入會員還有首購禮，多送一塊雞！）",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/861445993927964/?type=3,https://www.facebook.com/kfctaiwan/posts/871424722930091:0,2015-03-13T02:35:02+0000,photo,Timeline Photos,324273577645211_861445993927964,5,267,NONE,267,false,false,ranked,0,false,,,,,
"BJ4，午餐就吃這一味，兩人分享歡樂又划算啦！
＞下載其他 #優惠券：http://goo.gl/3U3SZ1
（手機出示圖片立即兌換，快分享！）

#COUPON #好康 #折價券 #咔啦雞腿堡 #咔啦脆雞",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/861376160601614/?type=3,https://www.facebook.com/kfctaiwan/posts/870850522987511:0,2015-03-12T02:00:04+0000,photo,Timeline Photos,324273577645211_861376160601614,78,426,NONE,426,false,false,ranked,6,false,,,,,
"春天多變的濕冷天氣，要注意保暖，小心身體喔！
每天早上來一杯義大利最受歡迎的Lavazza 咖啡，配上肯德基熱騰騰的新鮮早餐，同步限時優惠中，好喝的咖啡配上好吃的早餐，讓你每天都活力滿滿！
詳情請上→http://goo.gl/7fWo8e",http://www.kfcclub.com.tw/event/2015breakfastsp/lavazza/index.html?utm_source=Facebook&utm_medium=PPA&utm_term=0309&utm_campaign=LAVAZZA,https://www.facebook.com/kfctaiwan/posts/869643006441596,2015-03-10T22:00:03+0000,link,義大利經典Lavazza咖啡 肯德基限時優惠早餐溫暖販售,324273577645211_869643006441596,59,10726,NONE,10726,false,false,ranked,28,false,,,,,
"萬物飆漲，省錢才是王道！3/30前到肯德基，連續五周早餐優惠，天天省荷包!

本周推出人氣熱賣""吮指嫩雞蛋烤餅套餐""，特價49元，新鮮雞肉加上香酥烤餅的絕妙口感，限時優惠要買要快!

詳情請上→http://goo.gl/axzqES",http://www.kfcclub.com.tw/event/2015breakfastsp/index.html?utm_source=facebookpost&utm_medium=weekthree1200x267&utm_campaign=0306,https://www.facebook.com/kfctaiwan/posts/869641813108382,2015-03-10T13:30:01+0000,link,省錢早餐大作戰 天天省10元,324273577645211_869641813108382,34,3683,NONE,3683,false,false,ranked,6,false,,,,,
