message,link,permalink_url,created_time,type,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,name,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length,message_tags/1/id,message_tags/1/name,message_tags/1/type,message_tags/1/offset,message_tags/1/length
"每到週末臉書就被美食洗版，但吃得夠均衡嗎？試試『好精彩大早餐』吧！
有義美2公分厚切吐司
櫸木煙燻火腿
金黃薯餅及炒蛋
小百合四季沙拉
嚴選牧場豬肉片
五彩食材全在這一盤，讓你秀出超霸氣均衡早餐！(挺)

WOW！更多均衡美味 http://bitly.com/ltoplatter3",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/989097871132897/?type=3,https://www.facebook.com/mcdonalds.tw/posts/989097871132897:0,2015-07-03T14:00:05+0000,photo,101615286547831_989097871132897,186,33571,NONE,33571,false,false,chronological,251,false,Timeline Photos,,,,,,,,,,
小小兵全面佔領麥當勞！,https://www.facebook.com/mcdtw.family/photos/a.853252574736567.1073741828.845235395538285/904318179630006/?type=3,https://www.facebook.com/mcdonalds.tw/posts/990487457660605,2015-07-02T08:11:41+0000,photo,101615286547831_990487457660605,,20757,NONE,20757,false,false,chronological,641,false,麥麥童樂會,,,,,,,,,,
"好像等了一世紀，終於放暑假囉！
快揪好友吃冰炫風，第2杯半價只限7/1-7/7喔，把握每一秒，讓整個暑假都是一個狂歡的節奏啊！

立即慶祝 >>http://bitly.com/McFlurry5",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/977593515616666/?type=3,https://www.facebook.com/mcdonalds.tw/posts/977593515616666:0,2015-07-01T06:00:00+0000,photo,101615286547831_977593515616666,761,28650,NONE,28650,false,false,chronological,315,false,Timeline Photos,,,,,,,,,,
"敬禮，報告主人！
『長舌蘿蔔』、『踏步小小兵』今日已成功登陸麥當勞！他們從盤古開天闢地以來尋找的主人就是你，快接走他們吧！
 >> 10款小小兵持續登陸 http://www.mcdonalds.com.tw/tw/ch/family/toy.html",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/989289524447065/?type=3,https://www.facebook.com/mcdonalds.tw/posts/989289524447065:0,2015-07-01T02:00:01+0000,photo,101615286547831_989289524447065,1060,26919,NONE,26919,false,false,chronological,564,false,Timeline Photos,,,,,,,,,,
"告訴主人一個秘密，我7/1就會抵達台灣，記得來麥當勞，把我接走喔！
應該有認出我是誰吧？(搔頭)",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/989285944447423/?type=3,https://www.facebook.com/mcdonalds.tw/posts/989285944447423:0,2015-06-30T14:00:01+0000,photo,101615286547831_989285944447423,92,5258,NONE,5258,false,false,chronological,85,false,Timeline Photos,,,,,,,,,,
"願見義勇為的麥胞，早日康復
願所有傷者，平安痊癒
願傷者的家屬，勇敢堅強
也感謝醫療人員，夜以繼日的辛勞

麥當勞誠摯邀請所有粉絲加入
為每一位傷者集氣祈福，加油！加油！加油！",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/989283274447690/?type=3,https://www.facebook.com/mcdonalds.tw/posts/989283274447690:0,2015-06-30T10:33:35+0000,photo,101615286547831_989283274447690,84,4233,NONE,4233,false,false,chronological,59,false,Timeline Photos,,,,,,,,,,
"【寒流特報】夏天竟有6°C冷鋒過境……到你身體裡！

原來是…即日起到2015/9/30下午1點到6點，單點大杯冷飲第二杯$10啦！
http://bit.ly/hphour03",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/989289101113774/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1028301343879216:0,2015-06-30T04:00:00+0000,photo,101615286547831_989289101113774,187,28309,NONE,28309,false,false,chronological,145,false,Timeline Photos,,,,,,,,,,
"品味人生的美好，言語真的不足以形容！
就像『義式青醬鷄腿堡』，板烤鷄腿肉以羅勒香草入味，佐以道地義式青醬，再與濃香艾曼塔起司美味交疊，真讓人食指大動，比出Bravo的手勢啊！

品味美好 >>http://bit.ly/McToe02
歡樂送網路訂餐 >>http://bit.ly/McToe06",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/984225804953437/?type=3,https://www.facebook.com/mcdonalds.tw/posts/984225804953437:0,2015-06-30T02:00:02+0000,photo,101615286547831_984225804953437,41,1414,NONE,1414,false,false,chronological,9,false,Timeline Photos,,,,,,,,,,
"暑假必參加！超人氣『小麥麥體驗營』八月份場次7/1 10:00開放報名囉!
看寶貝扮演小小經理、小小服務員、小小接待員和小小咖啡師，還能站上櫃檯點餐，親手做蛋捲冰淇淋給您，讓寶貝在遊戲中認真學習，讓您疼惜又驕傲啊！

快！秒殺預約不錯失 http://bit.ly/mcdcamp1 

加入『 麥麥童樂會』，周末親子活動玩不完！",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/986749758034375/?type=3,https://www.facebook.com/mcdonalds.tw/posts/986749758034375:0,2015-06-29T08:00:01+0000,photo,101615286547831_986749758034375,370,1984,NONE,1984,false,false,chronological,201,false,Timeline Photos,845235395538285,麥麥童樂會,page,148,5,,,,,
"怎麼到處買不到Coca Cola麻吉瓶？原來全世界最麻吉的可樂瓶只在麥當勞歡樂送，而且只送不賣！(驚呆)

6/24-7/28麥當勞歡樂送網路訂餐滿$388，免費送可口可樂「麻吉」瓶2瓶！一定要蒐藏的啊！

限量放送，快網路訂餐(不含外送費$35及加點優惠價促銷商品) >>http://bit.ly/mcM4D_1",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/984387408270610/?type=3,https://www.facebook.com/mcdonalds.tw/posts/984387408270610:0,2015-06-24T08:00:02+0000,photo,101615286547831_984387408270610,61,1247,NONE,1247,false,false,chronological,50,false,Timeline Photos,,,,,,,,,,
"是什麼義式料理，好吃到教人說不出話？鮮嫩多汁的板烤香草鷄腿肉，佐以道地義式青醬，全新的義式青醬鷄腿堡，吃一口，你也會忍不住用手勢，表達你對義大利美味的熱情！

享受義大利Bravo美味>> http://bit.ly/McToe01
歡樂送網路訂餐>> http://bit.ly/McToe05",https://www.facebook.com/mcdonalds.tw/videos/984219804954037/,https://www.facebook.com/mcdonalds.tw/videos/984219804954037/,2015-06-24T02:00:01+0000,video,101615286547831_984219804954037,103,2150,NONE,2150,false,false,chronological,62,false,麥當勞 義式青醬鷄腿堡  美味人生Bravo！,,,,,,,,,,
