message,link,permalink_url,created_time,type,name,id,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,shares/count
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1086681314737763/?type=3,https://www.facebook.com/kfctaiwan/posts/1086681314737763:0,2016-02-10T03:25:01+0000,photo,Timeline Photos,324273577645211_1086681314737763,8,294,NONE,294,false,false,ranked,3,false,"新年假期打麻將拚桌遊，緊張刺激的時刻誰也捨不得離開!
財神爺爺外送美食到你家！
黃金開運起司雞，開運手氣旺！ 猴發財派對餐，新年發發發！
讓你歡聚不間斷~

網路訂餐:https://goo.gl/zZRVQz
電話訂外送：02-4128000(是你餓吧鈴鈴鈴)"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1086677804738114/?type=3,https://www.facebook.com/kfctaiwan/posts/1086677804738114:0,2016-02-08T03:00:00+0000,photo,Timeline Photos,324273577645211_1086677804738114,8,327,NONE,327,false,false,ranked,6,false,"肯德基爺爺給大家拜年來了~ 新的一年祝大家猴運旺旺來~

過年最重要就是開運，大家有甚麼開運秘方呢?
這裡透漏小編過年開運小撇步，就是給它來一桶黃金開運起司雞，好吃討喜又開運，讓猴年開運猴賽雷~
總之過年就是要和家人朋友們來桶肯德基!

預訂快取免排隊(還有好禮三選一唷):https://goo.gl/8t0kzl"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1086680361404525/?type=3,https://www.facebook.com/kfctaiwan/posts/1086680361404525:0,2016-02-05T07:13:47+0000,photo,Timeline Photos,324273577645211_1086680361404525,5,229,NONE,229,false,false,ranked,5,false,"過年怎能空手回家？滿足全家人的第二個胃
肯德基瑪奇朵QQ蛋撻禮盒，最討喜的伴手禮，從除夕到走春，天天伴著你～

網路預訂快取，外帶免排隊~:https://goo.gl/kYLiuB"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1085259891546572/?type=3,https://www.facebook.com/kfctaiwan/posts/1085259891546572:0,2016-02-03T02:46:08+0000,photo,Timeline Photos,324273577645211_1085259891546572,7,237,NONE,237,false,false,ranked,7,false,"過年返鄉，小心負能量
遇到不知該怎麼回應的問題時…..你會怎麼做呢？
1.賞他一巴掌
2.翻他個白眼
3.轉移注意力叫他快快吃蛋撻
4.其他 __________

團長呼籲大家還是要好好管理表情跟語氣唷～(推眼鏡)"
https://goo.gl/8pnioJ,https://www.facebook.com/kfctaiwan/posts/1084006115005283,2016-02-01T13:19:09+0000,link,肯德基《預訂快取》，過年出遊美食首選,324273577645211_1084006115005283,141,8617,NONE,8593,false,false,ranked,38,false,"過年出遊，不必再到餐廳人擠人

『肯德基預訂快取』，餐點一拿就上路，用美食為旅程增添更多歡樂！滿額再享好禮三選一！

立即預訂👉  https://goo.gl/8pnioJ"
https://www.facebook.com/gary6711/photos/a.156422587727723.23071.149986161704699/967021893334451/?type=3,https://www.facebook.com/kfctaiwan/posts/1084125761659985,2016-02-01T07:48:24+0000,photo,菜朝,324273577645211_1084125761659985,,4267,NONE,4267,false,false,ranked,20,false,每個大人心中都有個小孩，只是長大後已不好意思耍賴；伴手禮要記得備足大家的份～以免愛孫的大孩子們內傷唷！！！
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1083336181738943/?type=3,https://www.facebook.com/kfctaiwan/posts/1083336181738943:0,2016-01-31T03:46:14+0000,photo,Timeline Photos,324273577645211_1083336181738943,13,242,NONE,242,false,false,ranked,3,false,"人氣爆棚的預購好禮三重送活動又來啦！！！
年前聚餐最划算的選擇~
兩天前預購滿額就送你原味蛋撻禮盒兌換券！
新春加碼特別活動，買多人歡聚餐再送你黃金開運福袋，袋袋有獎（含金幣及五塊雞桶等豐富好禮！）
這麼多好康，小編都拿到手軟啦～
別再猶豫了！數量有限，送完為止！

網路訂外送/外帶：https://goo.gl/3nEGI8
電話訂外送：02-4128000(是你餓吧鈴鈴鈴)"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1081929598546268/?type=3,https://www.facebook.com/kfctaiwan/posts/1081929598546268:0,2016-01-29T03:25:42+0000,photo,Timeline Photos,324273577645211_1081929598546268,197,3880,NONE,3880,false,false,ranked,77,false,"【截圖分享-廣邀好友一起開運109】

一場香濃的味蕾響宴即將展開！黃金開運起司雞x1+炸雞x1+玉米濃湯(小)x1，限時開運價只要$109，立即“截圖分享”親朋好友吧！
活動時間自2016/1/15-2/29止
 ★出示截圖即享優惠★ 更多優惠券： http://goo.gl/yIcTKg"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1081533641919197/?type=3,https://www.facebook.com/kfctaiwan/posts/1081533641919197:0,2016-01-28T11:53:35+0000,photo,Timeline Photos,324273577645211_1081533641919197,11,335,NONE,335,false,false,ranked,21,false,"【黃金開運求吉籤幸運兒揭曉囉!】
吉籤活動圓滿結束，感謝大家的熱情參與！快來看看你是不是得獎幸運兒吧！

【得獎名單】
Nxxa Lxu
Fxxg YuChxxg
Vxvxa Hxxng
李x迪
Kxxkx Cxxn
陳x輝
Hxxg-Zxxn Hxxng
張x玲
江x華
李x香
葉x玲
Mxi Cxxn
陳x欣
張x恬
Lixxg Nxxn
黃x萱
雲xx辰
黃x淳
Hxn Hxn Huxxg
Fxxgxi Txxi

恭喜以上20位網友獲得「黃金開運餐」一份 (黃金開運起司雞*5+咔啦脆雞*5 + 原味蛋撻禮盒+上校雞塊*4+大薯*1+瓶可*1 ，價值598元)

※麻煩得獎者注意KFC台灣肯德基的Facebook訊息，並記得於1/29 (五) 17:00前提供真實姓名、聯絡電話、取餐餐廳、取餐時間，逾期即視同放棄。若無法接受取餐時間，則視同放棄得獎機會。 

範例說明: 
姓名：王小明
電話：0988888666
取餐餐廳：台北台大
取餐時間：2/1(一) 18:00

※取餐時請至「預訂快取」櫃台，告知服務人員要領取《黃金開運求吉簽活動中獎餐》並出示中獎人身分證明，即可免費獲得!

最後，以下幾點事項很重要喔！！！

(1) 肯德基將於2/1 (一) 15:00 – 20:00期間，開放給得獎者領取餐點，請得獎者自行至指定餐廳取餐，並預約取餐時間，若無法接受取餐時間，則視同放棄得獎機會。 
(2) 中獎人恕不重複中獎
(3) 本活動如有任何因電腦、網路、電話、技術或其他不可歸責於主辦單位之事由，而使參與本活動者所登錄之資料有所遺失、錯誤、無法辨識或毀損所導致資料無效之狀況，台灣肯德基皆不負任何法律責任，參加者與得獎者亦不得異議。 
(4) 如遇不可抗力之因素，主辦單位保有隨時修改活動辦法及獎項或終止本活動或變更同等價值商品之權利。
(5) 中獎人提供之個人資料僅供本活動聯繫使用。  

個人資料蒐集告知義務：
(1) 得獎者同意將個人資料(含姓名、性別、聯絡電話、地址及出生年月日等)供肯德基、關係企業及委託之第三人於中華民國境內作為餐飲服務、與您聯絡、進行商品行銷活動、寄送DM廣告資料、提供商品訊息、統計與分析、資訊與資料管理、宣傳行銷及管理，其他經營合於肯德基營業登記項目所定業務等之目的範圍內使用。
(2) 您對於所提供之個人資料，依法有查詢或請求閱覽、製給複製本、補充或更正、請求停止蒐集、處理或利用或請求刪除之權利。若您欲行使前揭權利請撥打肯德基免付費客服專線0800-068-007。
(3) 您同意肯德基保留您個人資料之期間，以完成本活動特定目的之必要期間及肯德基營運之期間為準，惟如法律另有規定或許可更長之期間者，不在此限。
(4) 您可自由選擇是否提供您的個人資料予肯德基，若您所提供之個人資料有無法確認您真實身份或冒用、盜用、資料不實等情事，或您選擇不提供個人資料時，您將無法享有本活動之兌換獎項權利。
(5) 您已詳細閱讀本條款之全部內容，如您依本活動辦法相關指示而提供您的個人資料，即具有書面同意肯德基蒐集、處理及利用您的個人資料之效果。"
https://www.facebook.com/kfctaiwan/videos/1080788931993668/,https://www.facebook.com/kfctaiwan/videos/1080788931993668/,2016-01-27T07:32:29+0000,video,肯德基_黃金開運起司雞_福袋篇,324273577645211_1080788931993668,16,208,NONE,208,false,false,ranked,4,false,"迎新年開運大發財!肯德基送您開運福袋讓您好運連連!
買桶餐送福袋，袋袋有獎還有機會抽金幣~

網路訂餐:https://goo.gl/zZRVQz
電話訂外送：02-4128000(是你餓吧鈴鈴鈴)"
