message,permalink_url,created_time,type,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,link,name
用新早餐，喚醒一天的新感覺吧！全新『早安捲』，Q彈餅皮捲入新鮮食材，超值早餐只要＄49起，明早就用這新鮮idea幫自己早安加油！  http://bit.ly/bfastwrap,https://www.facebook.com/mcdonalds.tw/posts/569984076377614:0,2013-06-18T15:40:27+0000,photo,101615286547831_569984053044283,474,4523,NONE,4523,false,false,chronological,235,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/569984053044283/?type=3,Timeline Photos
一杯好咖啡，就是我在大城市生活的小確幸，明天又是個値得開心的週一早晨，一起享受免費的好咖啡吧！ http://bitly.com/mondaycafe,https://www.facebook.com/mcdonalds.tw/posts/568959323146756:0,2013-06-16T12:00:00+0000,photo,101615286547831_568330073209681,71,1550,NONE,1550,false,false,chronological,172,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/568330073209681/?type=3,Timeline Photos
"”Coca-Cola”樂翻杯讓電影『顛倒世界』成真了嗎？
怎麼冰塊、吸管、可口可樂…全往上飛？大家猜猜這影片怎麼拍的啊？正確解答，快上官網公開!
謎底就在「瘋傳樂翻杯」影片中   http://bit.ly/cokeglass",https://www.facebook.com/mcdonalds.tw/videos/551016348274611/,2013-06-14T11:41:41+0000,video,101615286547831_551016348274611,454,3773,NONE,3773,false,false,chronological,431,false,https://www.facebook.com/mcdonalds.tw/videos/551016348274611/,“Coca-Cola” 樂翻杯的神奇魔力
只用手機玩Game，遜！麥當勞”Coca-Cola”樂翻杯，一次推出『擴增實境大冒險』6款遊戲，虛擬跨越真實，比3D更炫！快來玩！！麥當勞官網跟餐廳內各3款遊戲等你挑戰!  http://bit.ly/glassgame,https://www.facebook.com/mcdonalds.tw/videos/549684348407811/,2013-06-11T04:00:00+0000,video,101615286547831_549684348407811,61,421,NONE,421,false,false,chronological,126,false,https://www.facebook.com/mcdonalds.tw/videos/549684348407811/,”Coca-Cola”樂翻杯 擴增實境大冒險
"「忙碌是一輩子的事，享受卻要及時！」
麥當勞週一早餐時段咖啡免費，讓自己及時享受一段咖啡時光吧 ！ http://bitly.com/mondaycafe",https://www.facebook.com/mcdonalds.tw/posts/565456823497006:0,2013-06-09T12:00:01+0000,photo,101615286547831_564603666915655,61,1409,NONE,1409,false,false,chronological,101,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/564603666915655/?type=3,Timeline Photos
"“Bonjour!“
其實我是從法國來的, 而且有產地證明喔
放心～100%品質保證",https://www.facebook.com/mcdonalds.tw/posts/564522230257132:0,2013-06-06T04:00:00+0000,photo,101615286547831_563993226976699,214,3880,NONE,3880,false,false,chronological,162,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/563993226976699/?type=3,Timeline Photos
麥當勞獨家限量推出”Coca-Cola”樂翻杯，正反都超正！即日起買任何套餐，薯條及飲料升級就免費送！冰銀灰、寶石藍本周新登場！全套六色，每週搶快蒐集喔！  http://bit.ly/cokeglass,https://www.facebook.com/mcdonalds.tw/posts/563364080372947:0,2013-06-05T08:02:05+0000,photo,101615286547831_563364060372949,1303,6187,NONE,6187,false,false,chronological,161,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/563364060372949/?type=3,Timeline Photos
"世界一成不變？為何不換個角度看！
麥當勞獨家限量推出”Coca-Cola”樂翻杯，正反都超正！買任何套餐，薯條/飲料升級就免費送！冰銀灰、寶石藍本周新登場！全套六色，每週搶快蒐集喔！ www.mcdonalds.com.tw/cokeglass",https://www.facebook.com/mcdonalds.tw/posts/563070883735600,2013-06-05T02:00:01+0000,video,101615286547831_563070883735600,247,1565,NONE,1565,false,false,chronological,80,false,http://www.youtube.com/watch?v=aP0xWSuOThU,"McDonald's 2013 ""Coke-Cola""樂翻杯"
陳柏霖：「明早約在麥當勞，請你喝杯咖啡好嗎？」 http://bitly.com/mondaycafe,https://www.facebook.com/mcdonalds.tw/posts/561971243845564:0,2013-06-02T12:00:01+0000,photo,101615286547831_561937693848919,144,2710,NONE,2710,false,false,chronological,86,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/561937693848919/?type=3,Timeline Photos
"如何幫壽星籌備~麥當勞獨家版的生日晚餐？
出奇不意的端出插上生日蠟燭的漢堡，大家一起唱出生日快樂歌！這樣用心的新梗，一定能讓壽星永遠難忘！  http://bitly.com/mcdnight",https://www.facebook.com/mcdonalds.tw/posts/560439957332026:0,2013-05-30T08:00:02+0000,photo,101615286547831_560341720675183,78,2376,NONE,2376,false,false,chronological,74,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/560341720675183/?type=3,Timeline Photos
現在，你的心裡想著誰？別讓你對面的位置老是空著，明天早上把她／他約出來，一起到麥當勞喝杯免費咖啡吧！ http://bitly.com/mondaycafe,https://www.facebook.com/mcdonalds.tw/posts/558591747516847:0,2013-05-26T12:00:01+0000,photo,101615286547831_558206070888748,86,2262,NONE,2262,false,false,chronological,64,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/558206070888748/?type=3,Timeline Photos
"雨要下不下、天氣悶熱難耐…午餐，想要更清爽的選擇！
麥當勞推出「輕午餐」--趣飯捲+爽健美茶只要$79，不僅價格無負擔、連卡路里也只有465大卡，給你中午輕盈好心情！ http://bit.ly/ricewrap",https://www.facebook.com/mcdonalds.tw/posts/556679351041420:0,2013-05-22T03:00:00+0000,photo,101615286547831_556664071042948,218,3425,NONE,3425,false,false,chronological,67,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/556664071042948/?type=3,Timeline Photos
排得滿滿的行事曆，可否留一個空檔給大仁哥？陳柏霖邀請你週一早餐免費來麥當勞喝杯好咖啡---滿檔行程中，享受一”格”從容的留白！ http://bitly.com/mondaycafe,https://www.facebook.com/mcdonalds.tw/posts/555482497827772:0,2013-05-19T12:00:01+0000,photo,101615286547831_554704387905583,138,2089,NONE,2089,false,false,chronological,22,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/554704387905583/?type=3,Timeline Photos
好久沒和高中同學約了，既期待又怕一時沒話題？麥當勞星光旗艦店，準備了隱藏版派對，用手機讓你們一秒變麥當勞叔叔、變台灣之光…拍出最不一樣的照片，保證整晚笑不完，往日交情一下就回來啦！快到麥當勞星夜旗艦店體驗吧！http://bitly.com/mcdownthenight5,https://www.facebook.com/mcdonalds.tw/posts/554628264579862:0,2013-05-17T08:00:02+0000,photo,101615286547831_554615731247782,18,798,NONE,798,false,false,chronological,22,false,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/554615731247782/?type=3,Timeline Photos
蘇打綠和小燕姊同聲邀你一起：捐出你的花格襯衫，讓麥當勞叔叔之家志工們親手縫製成麥麥熊，送給遠地就醫兒童一個溫暖的入住禮物，為他們加油打氣！上傳襯衫花色照片，可觀看專屬你的3D麥麥熊！5/31前捐贈襯衫還能獲贈蛋捲冰淇淋兌換券哦！ http://bit.ly/rmhcevent,https://www.facebook.com/mcdonalds.tw/posts/553479291361426,2013-05-15T02:00:01+0000,link,101615286547831_553479291361426,108,725,NONE,725,false,false,chronological,22,false,http://bit.ly/rmhcevent,花格變身麥麥熊-麥當勞叔叔兒童慈善基金會
