message,link,permalink_url,created_time,type,name,id,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,shares/count
"0909該放鬆久久   #南洋烤肉食堂  開張慶 
周五~日來購買「南洋沙嗲烤雞🐔」套/桶餐+FaceBook打卡 👍就能免費兌換台啤蜂蜜啤酒喔！   
 🐔活動門市：KFC台北八德門市 (台北市八德路一段64號)
 🌴活動至2016/10/10止
 贈品每日數量有限，錯過隔天再來拼 ❗  ❗  ❗
 🌴活動辦法請上
http://www.kfcclub.com.tw/NewsDetail-53.html
#KFC #南洋沙嗲烤雞 #南洋烤肉食堂",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1269339869805239/?type=3,https://www.facebook.com/kfctaiwan/posts/1269339869805239:0,2016-09-09T10:32:25+0000,photo,Timeline Photos,324273577645211_1269339869805239,90,NONE,89,false,false,ranked,3,false,5
"【KFC 讓你的荷包更省一籌！】
肯德基早餐天天省套餐只要$45元起！享受每日現做的美味~還有義大利LAVAZZA咖啡喚醒你的美味義識！
更多早餐優惠→ http://goo.gl/eJgSYv",http://event.media-palette.com.tw/KFC/2016Breakfast/index.aspx?utm_source=facebook&utm_medium=cpc&utm_content=NewsFeed&utm_campaign=2016Breakfast,https://www.facebook.com/kfctaiwan/posts/1264640016941891,2016-09-05T16:00:02+0000,link,肯德基天天省，讓你更省一籌！,324273577645211_1264640016941891,3473,NONE,3445,false,false,ranked,24,false,36
"沒想到，99群星餐能帶給插畫家-吃到飽 這麼多內心小劇場呀!
#小編也需99群星餐來療癒內心",https://www.facebook.com/allcaneat/photos/a.1401929423403902.1073741828.1401911856738992/1730576097205898/?type=3,https://www.facebook.com/kfctaiwan/posts/1264515063621053,2016-09-05T07:30:59+0000,photo,吃到飽,324273577645211_1264515063621053,8357,NONE,7931,false,false,ranked,57,false,
"【外送九月限定-中秋歡聚限時特惠599】
肯德基網路外送優惠餐!中秋聚會最佳食光
十塊雞桶+一盒原味蛋撻禮盒+兩包小薯+一份四塊上校雞塊+1.25L瓶裝可樂優惠價$599。
優惠代碼【30005】網路/電話外送皆適用!

網路優惠使用流程:
至 http://goo.gl/9MUrfR > 點選網路外送> 填寫地址與送達日期時段> 於選擇餐點頁，點選左邊分類的活動專區(EVENT)> 輸入代碼30005> 選購優惠餐點",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1260116954060864/?type=3,https://www.facebook.com/kfctaiwan/posts/1260116954060864:0,2016-09-01T16:00:00+0000,photo,Timeline Photos,324273577645211_1260116954060864,3525,NONE,3469,false,false,ranked,190,false,244
"出門抓寶，總是收獲滿滿，卻餓了肚子！？

別讓肚子受委屈，肯德基預訂快取💻📱，免排隊免等待，抓寶同時補充滿滿能量 💪💪💪，滿額$169/$439再享好禮三選一！

抓寶吃飽一起滿足 👉 http://goo.gl/6Req6u",http://gph.is/2bUvIvA,https://www.facebook.com/kfctaiwan/posts/1258967994175760,2016-08-31T16:00:01+0000,link,gph.is,324273577645211_1258967994175760,10024,NONE,9815,false,false,ranked,55,false,82
"粉紅控注意❤網友拍照「粉美味」的賣萌重點揭曉👇

肯德基「草苺起司冰淇淋大福」口碑好評👍熱賣中
今夏讓你隱藏的少女心爆發～凍免條想拍照的好單品！
草苺果粒×濃郁冰淇淋×Ｑ彈口感 (稍候五分鐘可回Q唷)
加點兩顆只要$70！快快TAG好朋友～一人一顆牽手賣萌😘
👉限量販售倒數優惠 http://goo.gl/4NvaMm",http://giphy.com/gifs/kfc-fb-ig-strawberry-dafu-3o7TKth7acn596zHmo?status=200,https://www.facebook.com/kfctaiwan/posts/1259011020838124,2016-08-31T16:00:00+0000,link,giphy.com,324273577645211_1259011020838124,24526,NONE,24244,false,false,ranked,167,false,183
"享受舌尖上的異國情調吧！「南洋沙嗲烤雞」期間限定，新品嚐鮮價只要$99!!
☑出示畫面編號K-19享優惠~\(^.^)/，
☑優惠期間至2016/10/10止

#南洋沙嗲烤雞 #kfc #中秋法寶",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1259084800830746/?type=3,https://www.facebook.com/kfctaiwan/posts/1259084800830746:0,2016-08-31T10:53:09+0000,photo,Timeline Photos,324273577645211_1259084800830746,483,NONE,459,false,false,ranked,18,false,69
"🌴🌴南洋沙嗲烤雞🌴🌴TVC搶先看！
美味光聽吃的聲音就知道！
人聲如何譜出動人南洋風旋律 ~ 20秒速成班敬請期待 👏👏
#南洋沙嗲烤雞 #KFC #FLG",https://www.facebook.com/kfctaiwan/videos/1258828827523010/,https://www.facebook.com/kfctaiwan/videos/1258828827523010/,2016-08-31T04:12:35+0000,video,南洋沙嗲烤雞,324273577645211_1258828827523010,131,NONE,129,false,false,ranked,1,false,13
,https://www.facebook.com/QiaohuTIGER/photos/a.472551212818942.1073741828.472537659486964/1147764201964303/?type=3,https://www.facebook.com/kfctaiwan/posts/1258003637605529,2016-08-30T09:02:57+0000,photo,大陰盜百貨,324273577645211_1258003637605529,10232,NONE,9645,false,false,ranked,46,false,
"肯德基$99群星餐新上市！這次有堡/捲兩款主餐可選擇，「美式煙燻薯餅雞腿捲」或 「德州辣醬經典薯餅雞腿堡」，搭配「香酥脆薯」+「金黃脆腿條」+「可樂(小)」；新主餐、新風味、滿足升級只要$99！

「美式煙燻薯餅雞腿捲」將鮮嫩多汁的現炸雞腿肉，搭配外酥脆內柔軟的衝浪板薯餅，抹上用蔬菜熬煮、風味濃郁的美式燻烤醬，用嚼勁十足的捲餅包起來，烙烤出微微焦香，讓你一口咬下多層次美味！喜歡捲餅的粉絲不要錯過囉～

＊免費升級中可嘗鮮券：http://goo.gl/XYsuu2",https://www.facebook.com/kfctaiwan/videos/1257735280965698/,https://www.facebook.com/kfctaiwan/videos/1257735280965698/,2016-08-30T03:03:21+0000,video,,324273577645211_1257735280965698,3010,NONE,2917,false,false,ranked,143,false,92
