message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment
"每天早上趕上班，沒時間好好吃早餐？三明治方便立刻帶走，但冷冷的少了點美味。還是期待熱騰騰的現做營養早餐，喚醒一天的活力…
「肯德基　起司薯餅蛋捲餅」，將金黃薯餅加上現炒嫩蛋和培根，淋上濃郁的起司醬，再用肯德基獨家餅皮將豐富餡料都捲起來烙烤。金黃香酥的薯餅，營養美味的嫩蛋、培根和起司醬，融合烙烤餅皮的焦香酥脆口感，新鮮手作美味帶著走，給你活力一整天！4月1日～準時開賣！",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/660630914009474/?type=3,https://www.facebook.com/kfctaiwan/posts/661593080579924:0,2014-03-30T04:00:01+0000,photo,Timeline Photos,324273577645211_660630914009474,16,368,NONE,368,false,false,ranked,1,false
"有沒有去過鹿港老街呢？
團長報告發現新景點～肯德基前進鹿港啦！
彰化鹿港店3/25起試營運，還有獨家優惠可以享用！
快逗陣來！",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/660650724007493/?type=3,https://www.facebook.com/kfctaiwan/posts/660972807308618:0,2014-03-29T02:00:01+0000,photo,Timeline Photos,324273577645211_660650724007493,46,441,NONE,441,false,false,ranked,7,false
"神秘的金黃小球，帶來神奇的魔力！
4月1號準時開賣！Coming soon～",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/660641704008395/?type=3,https://www.facebook.com/kfctaiwan/posts/660641714008394:0,2014-03-28T11:43:29+0000,photo,Timeline Photos,324273577645211_660641704008395,4,445,NONE,445,false,false,ranked,6,false
"A.聽到咔啦的清脆聲音
B.聞到撲鼻的炸雞香氣
C.看隔壁路人大口朵頤

告訴團長哪種情況你的腦波會特別弱？
（好～想～吃～炸～雞）",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/656715894400976/?type=3,https://www.facebook.com/kfctaiwan/posts/660460530693179:0,2014-03-28T02:00:01+0000,photo,Timeline Photos,324273577645211_656715894400976,2,273,NONE,273,false,false,ranked,18,false
先醬後米，＿ ＿ ＿在一起！週三來份小點心，再過兩天就要放假囉！知道空格是哪三個英文字母的粉絲請、填、空！,https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/656715224401043/?type=3,https://www.facebook.com/kfctaiwan/posts/659409717464927:0,2014-03-26T02:00:01+0000,photo,Timeline Photos,324273577645211_656715224401043,17,355,NONE,355,false,false,ranked,22,false
"A.酷米脆雞激省午晚餐$124
B.酷米脆雞重量級XL套餐$165
C.酷米脆雞七塊雞雙拼餐$349

粉絲最常吃哪、一、套？",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/656713881067844/?type=3,https://www.facebook.com/kfctaiwan/posts/658883620850870:0,2014-03-25T02:00:01+0000,photo,Timeline Photos,324273577645211_656713881067844,3,230,NONE,230,false,false,ranked,2,false
"肯德基早餐《培根起司蛋堡》內，沒有下列哪個選項？
A 香濃起司
B 低脂優格醬
C 現炒嫩蛋

知道答案的粉絲請、作、答！",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/656712547734644/?type=3,https://www.facebook.com/kfctaiwan/posts/658307274241838:0,2014-03-24T02:00:01+0000,photo,Timeline Photos,324273577645211_656712547734644,2,172,NONE,172,false,false,ranked,16,false
"粉絲吃過酷米脆雞了嗎？吸引你的是那些地方呢？
1.薄脆米片口感
2.法式蒜香風味
3.七塊雞雙拼價$349 !",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/652206924851873/?type=3,https://www.facebook.com/kfctaiwan/posts/656586621080570:0,2014-03-21T02:00:00+0000,photo,Timeline Photos,324273577645211_652206924851873,13,306,NONE,306,false,false,ranked,10,false
【脆雞東西軍】粉絲們今天想吃香酥勁辣的「咔啦脆雞」還是法式香蒜的「酷米脆雞」？留言請、選、擇！,https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/652206321518600/?type=3,https://www.facebook.com/kfctaiwan/posts/656068524465713:0,2014-03-20T02:00:00+0000,photo,Timeline Photos,324273577645211_652206321518600,15,390,NONE,390,false,false,ranked,48,false
"請問吃炸雞你最在意什麼呢？
1.脆皮
2.多汁
3.肉嫩
4.其他_____",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/652205118185387/?type=3,https://www.facebook.com/kfctaiwan/posts/655560427849856:0,2014-03-19T02:00:00+0000,photo,Timeline Photos,324273577645211_652205118185387,10,350,NONE,350,false,false,ranked,50,false
