message,link,permalink_url,created_time,type,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,name,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length
"$39以內的早餐，哪一家捨得放厚切土司？

麥當勞嫩蛋火腿Q吐司超值早餐嚴選『義美厚切土司』 Q彈有勁，搭配現煮咖啡才 $39，一定要用新台幣讓它下架啊！

突破CP值的必吃早餐 >> http://mcdtw.com/vb/002/",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1037393692969981/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1037393692969981:0,2015-09-20T23:00:01+0000,photo,101615286547831_1037393692969981,80,5889,NONE,5889,false,false,chronological,197,false,Timeline Photos,,,,,
"麥當勞Instagram正式開站囉！
雞塊、薯條、可樂都上場，麥當勞更潮、更Young的一面，一起來Play吧！

立刻追蹤 >> https://instagram.com/mcdonaldstw/
或打開Instagram搜尋 >> MCDONALDSTW",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1037224226320261/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1037224226320261:0,2015-09-16T10:00:01+0000,photo,101615286547831_1037224226320261,63,13928,NONE,13928,false,false,chronological,35,false,Timeline Photos,,,,,
"[情報] CP值爆表！麥當勞優惠券限時推出
超人氣商品全面下殺，套餐+45元就可以吃到大麥克
這麼優惠，滑過可不要錯過了！

超方便der！手機出示就能用 >> http://bitly.com/mcdcp20151",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1036769606365723/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1036769606365723:0,2015-09-16T08:00:01+0000,photo,101615286547831_1036769606365723,305,2313,NONE,2313,false,false,chronological,49,false,Timeline Photos,,,,,
"超人哥一直念念不忘…值人哥連作夢也會夢到…
這個超值美味就是胡麻豬排堡！
香脆豬排、爽脆高麗菜絲、淋上香醇胡麻醬～套餐只要$99！還有多樣經典套餐，一樣百元有找！
馬上前往>>http://bit.ly/mcdevm01",https://www.facebook.com/mcdonalds.tw/videos/1033844763324874/,https://www.facebook.com/mcdonalds.tw/videos/1033844763324874/,2015-09-16T02:00:01+0000,video,101615286547831_1033844763324874,72,2650,NONE,2650,false,false,chronological,68,false,真的真的真的！傳說中的虎馬豬回來了,,,,,
"你買的$ 39 早餐，想要有哪一種好食材？

○ 特選認證A級蛋
○ 義美厚切吐司
○ 台灣優質豬肉火腿
○ 三道水洗安心生菜
○  100%阿拉比卡現煮咖啡

不必選！
麥當勞嫩蛋火腿Q土司超值早餐，以上通通有，竟…只要$ 39！

更多選擇 >> http://mcdtw.com/vb/001/",https://www.facebook.com/mcdonalds.tw/videos/1034385383270812/,https://www.facebook.com/mcdonalds.tw/videos/1034385383270812/,2015-09-13T23:00:01+0000,video,101615286547831_1034385383270812,145,1977,NONE,1976,false,false,chronological,135,false,$ 39 早餐 超值大抉擇,,,,,
"義大利文『提拉米蘇』是什麼意思呢？
吃一口期間限定的『提拉米蘇聖代』就完全懂了
濃醇幸福還有杏仁角口感，就是『帶我走』的意思啊！

找到附近麥當勞帶走幸福 >> http://mcdtw.com/flurry/001",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1029470450428972/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1029470450428972:0,2015-09-10T06:00:00+0000,photo,101615286547831_1029470450428972,310,17664,NONE,17664,false,false,chronological,252,false,Timeline Photos,,,,,
"3款冰炫風都超想吃，一定要抉擇，太虐心了吧！
○ 提拉米蘇 (期間限定)
○ OREO
○ 法式焦糖脆片
9/9-9/15全部第二杯半價，緊急tag好友一起抉擇！

現約不囉嗦！附近哪有麥當勞？>> http://mcdtw.com/flurry/002",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1029469973762353/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1029469973762353:0,2015-09-09T06:00:00+0000,photo,101615286547831_1029469973762353,618,4458,NONE,4458,false,false,chronological,506,false,Timeline Photos,,,,,
"你的少女少年時代，曾有個櫻桃小丸子
現在她回來囉！",https://www.facebook.com/mcdtw.family/photos/a.853252574736567.1073741828.845235395538285/935507023177788/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1029855927057091,2015-09-04T03:03:45+0000,photo,101615286547831_1029855927057091,,2930,NONE,2930,false,false,chronological,132,false,麥麥童樂會,,,,,
"【我的麥當勞K書時代】
那年你穿打折褲、留著中分頭、書包上寫著追夢人
下課後到麥當勞K書，就像電影中等待你的太宇/真心出現…

你想謝謝誰出現在你的青春裡，快Tag你年少時代的好友回味吧！",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1029361363773214/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1029361363773214:0,2015-09-03T09:22:03+0000,photo,101615286547831_1029361363773214,54,1739,NONE,1739,false,false,chronological,56,false,Timeline Photos,,,,,
"義大利美味之旅，只要$ 50！

來自義大利的聖馬爾札諾蕃茄，做成的『義式紅醬香鷄堡』， 1+1= $50，就能讓味蕾徜徉義大利！

看所有1+1美味搭配>>http://bitly.com/mcdba1",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1028312787211405/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1028312787211405:0,2015-09-02T06:00:01+0000,photo,101615286547831_1028312787211405,396,21966,NONE,21966,false,false,chronological,247,false,Timeline Photos,,,,,
"哇！史上最萌的麥當勞小小經理，就是你家寶貝！

『小麥麥體驗營』10月場次報名開始了！讓寶貝巧扮小小服務員、小小咖啡師…親手做蛋捲冰淇淋獻給您，在遊戲中學會認真、開心工作喔！

10月場次，9/1早上10：00起網路報名
>> http://bitly.com/mcdcamp84

快加入麥當勞唯一官方親子粉絲團 麥麥童樂會",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1024614844247866/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1024614844247866:0,2015-08-31T08:00:02+0000,photo,101615286547831_1024614844247866,200,1113,NONE,1113,false,false,chronological,121,false,Timeline Photos,845235395538285,麥麥童樂會,page,158,5
"【薯條吃法大募集】
從現在到2015/9/30，每晚9點~12點，大薯第2包只要$10，超多薯條~怎麼吃最過癮？

吃法一：薯條沾巧克力聖代，冰火交融
吃法二：薯條夾進麥香魚裡，超綿密
吃法三：撕碎薯條加進沙拉，意外好吃

你有什麼獨家吃法？快留言分享吧！
http://bit.ly/hphour09",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1006244169418267/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1006244169418267:0,2015-08-28T12:30:01+0000,photo,101615286547831_1006244169418267,620,18006,NONE,18006,false,false,chronological,1171,false,Timeline Photos,,,,,
"跳進來！讓味蕾跳進大杯冷飲裡，讓氣溫跳下來！
現在到2015/9/30，每天下午1點到6點，大杯冷飲第2杯$10，還不快跳、進、來！
http://bit.ly/hphour07",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1006241279418556/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1006241279418556:0,2015-08-28T04:30:02+0000,photo,101615286547831_1006241279418556,91,18888,NONE,18888,false,false,chronological,43,false,Timeline Photos,,,,,
"怎麼可能？有吃有喝，1+1只要50元！
現在還有義式紅醬香雞堡隨你選！使用「義大利蕃茄之王」的聖馬爾札諾蕃茄，熬製成美味又爽口的濃郁紅醬，最配你倆的美好時光~

你想怎麼配？搶鮮看>>http://bitly.com/mcdba0",https://www.facebook.com/mcdonalds.tw/videos/1019895974719753/,https://www.facebook.com/mcdonalds.tw/videos/1019895974719753/,2015-08-26T06:00:00+0000,video,101615286547831_1019895974719753,135,4601,NONE,4601,false,false,chronological,59,false,1+1只要50元 義式紅醬香鷄堡,,,,,
現在買快樂兒童餐隨餐附贈3M兒童安全牙線棒試用包1包 (內含3支)，贈完為止，有不同動物造型牙線棒等你來發現！,https://www.facebook.com/mcdtw.family/photos/a.853252574736567.1073741828.845235395538285/929087747153049/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1019624431413574,2015-08-21T02:03:50+0000,photo,101615286547831_1019624431413574,,1057,NONE,1057,false,false,chronological,106,false,麥麥童樂會,,,,,
"另一半就是…
有你， LOVE才完整！

七夕情人節，你想跟誰LOVE在一起？",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1018494721526545/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1018494721526545:0,2015-08-20T02:00:01+0000,photo,101615286547831_1018494721526545,86,3877,NONE,3877,false,false,chronological,143,false,Timeline Photos,,,,,
"啊！歡喜ㄟ寶島戀情花生啊！
黑狗兄和水姑娘，逗陣呷花生冰炫風

還有冰炫風口味隨挑，8/19~8/25 第二杯攏半價
七夕呷甜甜，愛人節快樂喔！

立即找最近麥當勞 >>http://bitly.com/mcdmf0704",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1007730659269618/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1007730659269618:0,2015-08-19T06:00:04+0000,photo,101615286547831_1007730659269618,156,7523,NONE,7523,false,false,chronological,183,false,Timeline Photos,,,,,
"夏日基本款條紋，如何搭出新意？
Hello Kitty換上沁涼條紋，變裝果漾西瓜，絕配你的時尚條紋！
8/19 7am起全台麥當勞餐廳開賣，每人每次消費限購3個，務必早起採收！
>> 得來速及歡樂送不適用 http://bitly.com/mcdhkt5",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1017713004938050/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1017713004938050:0,2015-08-18T09:00:00+0000,photo,101615286547831_1017713004938050,626,21112,NONE,21112,false,false,chronological,1654,false,Timeline Photos,,,,,
"浪漫，就是意料之外的驚喜！
明早就用豐盛的『好精彩大早餐』喚醒他，和他早晨約會，一起享用好精彩大早餐才夠甜蜜！

如果幸福是一本存摺，現在就存入驚喜浪漫吧！

看所有約會必吃早餐 >> http://bitly.com/ltoplatter7
歡樂送預訂明天早餐 >> http://bitly.com/ltoplatter8",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1013745328668151/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1013745328668151:0,2015-08-17T23:00:00+0000,photo,101615286547831_1013745328668151,183,23501,NONE,23501,false,false,chronological,141,false,Timeline Photos,,,,,
"百變封面女王Hello Kitty，最新造型發表！
看她以麥當勞包裝為伸展台，詮釋最潮Look，給你好看、更給你好食，你入荷幾款了？
必入荷！熱帶鳳梨揚蝦堡/烤鷄堡>>http://bitly.com/MCDFBP2",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1012725958770088/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1012725958770088:0,2015-08-13T02:00:00+0000,photo,101615286547831_1012725958770088,370,33233,NONE,33233,false,false,chronological,380,false,Timeline Photos,,,,,
"你看！是來自北國的草莓Kitty公主～
哪位白馬王子願意來喚醒沉睡在冷凍庫裡的甜蜜草莓！？
【台灣限定】甜蜜草莓8/12 7am起限量推出，每人每次消費限購3個抱枕！
#王子就是要拯救HelloKitty公主啊 不然要幹嘛？http://bitly.com/mcdhkt4",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1011993732176644/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1011993732176644:0,2015-08-11T09:00:01+0000,photo,101615286547831_1011993732176644,1108,22875,NONE,22875,false,false,chronological,1211,false,Timeline Photos,,,,,
無論你幾歲，永遠是老爸心中的『堡』！,https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1009848272391190/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1009848272391190:0,2015-08-08T02:00:01+0000,photo,101615286547831_1009848272391190,63,2719,NONE,2719,false,false,chronological,40,false,Timeline Photos,,,,,
"你找到和你合體變更強的夥伴了嗎？
變形金剛，一定要的呀！

快加入麥當勞唯一 官方親子粉絲團『麥麥童樂會』",https://www.facebook.com/mcdtw.family/photos/a.853252574736567.1073741828.845235395538285/920498851345272/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1009237145785636,2015-08-06T02:06:09+0000,photo,101615286547831_1009237145785636,,479,NONE,479,false,false,chronological,35,false,麥麥童樂會,845235395538285,麥麥童樂會,page,47,5
"啊！這款友孝ㄟ代誌花生啊
陪阿爸逗陣呷冰，親像小漢ㄟ時！

還有冰炫風口味隨挑，8/5~8/11 第二杯攏半價
阿爸節快樂喔，阿爸我愛你啦！

立即找最近麥當勞 >>http://bitly.com/mcdmf0703",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1007729559269728/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1007729559269728:0,2015-08-05T06:00:01+0000,photo,101615286547831_1007729559269728,299,13018,NONE,13018,false,false,chronological,101,false,Timeline Photos,,,,,
"吸飽陽光的香煎鳳梨，充滿海洋活力的Ｑ彈鮮蝦，還有鮮嫩多汁的烤鷄腿肉，從『熱帶鳳梨揚蝦堡』、『熱帶鳳梨烤雞堡』開始盡情享受夏天!

享受鳳梨堡美味 >> http://bitly.com/MCDFBP1
歡樂送網路訂餐 >> http://bitly.com/MCDFBP4",https://www.facebook.com/mcdonalds.tw/videos/1006258396083511/,https://www.facebook.com/mcdonalds.tw/videos/1006258396083511/,2015-08-05T02:00:01+0000,video,101615286547831_1006258396083511,112,2394,NONE,2394,false,false,chronological,93,false,麥當勞熱帶鳳梨堡，夏天就想鳳梨一夏!,,,,,
"地表上，還有誰能比她更『旺來』？

Hello Kitty首次變身鳳梨
分享給你愛情旺來、人氣旺來、業績旺來…

『陽光鳳梨Hello Kitty抱枕』8/5 7am起限量推出，想旺來就快搶喔>> http://bitly.com/mcdhkt2",https://www.facebook.com/mcdonalds.tw/photos/a.114078088634884.6076.101615286547831/1008294222546595/?type=3,https://www.facebook.com/mcdonalds.tw/posts/1008294222546595:0,2015-08-04T09:00:01+0000,photo,101615286547831_1008294222546595,531,18299,NONE,18299,false,false,chronological,537,false,Timeline Photos,,,,,
