message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message_tags/0/id,message_tags/0/name,message_tags/0/type,message_tags/0/offset,message_tags/0/length,message_tags/1/id,message_tags/1/name,message_tags/1/type,message_tags/1/offset,message_tags/1/length
"哎呀哎呀！雖然有點殘酷……但小編一定要讓你知道~
晚了……真的就吃不到啦！！！
現在購買【日式醬味海苔脆雞】，2塊炸雞+中可只要嚐鮮價$99
好吃到會讓你大叫OMG!的期間限定美味，供貨倒數中喔
詳情請上→http://goo.gl/x8iexO
立即買→https://goo.gl/SjZpx9",http://event.theindex.com.tw/kfc/2015japanese/day/index2.html?utm_source=facebookppa&utm_medium=cob0511&utm_campaign=0508,https://www.facebook.com/kfctaiwan/posts/920070944732135,2015-05-20T05:52:46+0000,link,肯德基期間限定日式醬味炸雞美味倒數中,324273577645211_920070944732135,27,3332,NONE,3332,false,false,ranked,37,false,,,,,,,,,,
"5月繳稅荷包大失血，省錢大作戰從早餐開始？
肯德基早餐天天省，本週超值特惠-主廚燻雞燒餅，燻雞和燒餅的完美搭配，配上新鮮蔬菜，營養均衡又美味！
套餐特價59元！這樣吃早餐最省！詳情請上→http://goo.gl/vtoA2h",http://www.kfcclub.com.tw/event/2015breakfastsp/?utm_source=fbppa&utm_medium=week2&utm_campaign=0515,https://www.facebook.com/kfctaiwan/posts/919485841457312,2015-05-19T06:09:13+0000,link,繳稅月聰明省 早餐吃肯德基最省！,324273577645211_919485841457312,24,2981,NONE,2981,false,false,ranked,4,false,,,,,,,,,,
"廣大考生及親友加油團辛苦了！
辛苦了兩天，晚上就來大啖炸雞慶祝一下！四人份的美味只要$449，立即撥4128-000，報優惠編號ED-85，美味直送到家！
（手機出示圖片立即可兌換）
下載 #優惠券：http://goo.gl/T5996p
#國中教育會考
注意事項：
1.限非早餐時段使用 
2.本券不得與其他優惠活動或優惠券併用，且僅適用肯德基外送服務之電話訂購，恕不適用於網路訂餐；使用前請先告之點餐人員優惠券編號 
3.圖片僅供參考，產品以餐廳實際供應為準
4.肯德基保有修改優惠的權利
5.不可補差價升級其他飲料 
6.炸雞不可指定部位，但可選金黃薄脆雞、咔啦脆雞或蜜汁烙烤雞腿排 
7.漢堡可更換同價位產品",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/916178145121415/?type=3,https://www.facebook.com/kfctaiwan/posts/916178145121415:0,2015-05-17T03:30:03+0000,photo,Timeline Photos,324273577645211_916178145121415,24,378,NONE,378,false,false,ranked,4,false,,,,,,,,,,
"一個人也能 #說走就走，帶著美味又划算的肯德基一起去旅行吧！
下載更多#優惠券：http://goo.gl/kALIZI
（手機出示圖片立即可兌換，趕快分享～）",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/906370026102227/?type=3,https://www.facebook.com/kfctaiwan/posts/906370026102227:0,2015-05-16T02:45:03+0000,photo,Timeline Photos,324273577645211_906370026102227,6,250,NONE,250,false,false,ranked,4,false,,,,,,,,,,
"紅豆泥歐伊西的 #日式紅豆抹香蛋撻 你吃了沒？ヽ( ^∀^)ﾉ
滿滿紅豆泥x日式抹茶淋醬，吃一口就給你元氣滿滿的大能量，趕快行動！
＞#網路訂餐：http://goo.gl/bQlUAj （加入會員還享首購禮）
＞#手機點餐：http://goo.gl/KMPsrE

#蛋塔 #抹茶巧克力 #肯德基蛋撻",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/895687253837171/?type=3,https://www.facebook.com/kfctaiwan/posts/895687253837171:0,2015-05-15T03:00:04+0000,photo,Timeline Photos,324273577645211_895687253837171,8,215,NONE,215,false,false,ranked,2,false,,,,,,,,,,
"考考你，#肯德基 最新推出、人氣爆棚的炸雞是什麼呀？
知道答案的粉絲請！回！答！

不知道答案的有點遜，還沒吃過的也快落伍啦～（抱頭）",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/901129183292978/?type=3,https://www.facebook.com/kfctaiwan/posts/901129183292978:0,2015-05-14T10:00:00+0000,photo,Timeline Photos,324273577645211_901129183292978,2,172,NONE,172,false,false,ranked,8,false,,,,,,,,,,
"5月繳稅荷包空空，又好想吃豐富營養早餐喔！
肯德基早餐天天省，週週推出不同早餐特惠，有蛋、有菜，又有肉，營養又美味！
即日起至6/15止，天天省10元！如此好康的優惠，絕不能錯過！
詳情請上→http://goo.gl/ILzhBb",http://www.kfcclub.com.tw/event/2015breakfastsp/?utm_source=fb&utm_medium=week1&utm_campaign=0511,https://www.facebook.com/kfctaiwan/posts/915067008565862,2015-05-12T22:00:01+0000,link,聰明稅月輕鬆省！肯德基早餐天天省 每天省10元,324273577645211_915067008565862,42,2260,NONE,2260,false,false,ranked,14,false,,,,,,,,,,
"和好朋友分享好東西最幸福！
肯德基獨家推出日式紅豆抹香蛋撻，
綿密滑嫩的紅豆泥遇上清香爽口的日式抹茶，層層堆疊濃到化不開的日式幸福！
吃得到的甜蜜，與最親密的人分享！全台好評熱賣中！吃過都說讚喔！
詳情請上→http://goo.gl/E60D9t
立即購→https://goo.gl/sZHa9o",https://www.kfcorder.com.tw/web/Index.aspx?utm_source=FB_cpc&utm_medium=ppa_link&utm_campaign=0511_ETbox,https://www.facebook.com/kfctaiwan/posts/915035305235699,2015-05-12T09:24:49+0000,link,分享給你吃！ 肯德基日式紅豆抹香蛋撻雙色禮盒 熱賣中！,324273577645211_915035305235699,43,4351,NONE,4351,false,false,ranked,60,false,,,,,,,,,,
"驚呆流口水的美味有沒試過？30萬肯迷同聲按讚！
搭配日式醬油與海苔香，
光聞到香氣就忍不住口水直流！
遺憾的滋味，你不會想嘗試！
【日式醬味海苔脆雞】2塊炸雞+中可只要$99(省$20)，嚐鮮餐激省ing！
詳情請上→http://goo.gl/x8iexO
立即買→https://goo.gl/ClWqZx",https://www.kfcorder.com.tw/web/Index.aspx?utm_source=FB_cpc&utm_medium=ppa_link&utm_campaign=0511_ShoyuCOB,https://www.facebook.com/kfctaiwan/posts/915037238568839,2015-05-12T09:24:43+0000,link,肯德基日式醬味海苔脆雞，吃過的人都驚呆了！,324273577645211_915037238568839,14,5604,NONE,5604,false,false,ranked,43,false,,,,,,,,,,
"週一特別忙？
肯德基 #預訂快取 讓你想吃好料免排隊 (y) (y) 
快吆喝同事湊團點餐，網路預先訂，美味餐點隨到隨取～
滿額還能好禮三選一喔！
＞詳情請見：http://goo.gl/HsCcXp
＞手機瀏覽：http://goo.gl/GIVCci",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/897554720317091/?type=3,https://www.facebook.com/kfctaiwan/posts/897554720317091:0,2015-05-11T02:00:03+0000,photo,Timeline Photos,324273577645211_897554720317091,2,208,NONE,208,false,false,ranked,5,false,,,,,,,,,,
