link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment,message
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1030809963658232/?type=3,https://www.facebook.com/kfctaiwan/posts/1030809963658232:0,2015-11-05T11:20:44+0000,photo,Timeline Photos,324273577645211_1030809963658232,11,298,NONE,298,false,false,ranked,11,false,"[立冬]  將至(11/8)，辛苦了一整年，快來肯德基用 <星馬肉骨茶紙包雞>，幫自己補元氣！
肯德基明星商品紙包雞，以獨特封烤技術，將雞腿排烤得鮮嫩多汁，香氣四溢，
佐以肉骨茶藥膳風味，再搭配雞汁風味飯，這麼細膩的功夫菜，激省價只要 $129！
寒冬中，熱熱吃，讓你暖心又暖胃～

[節氣小教室]:
「立冬」是二十四節氣之一。「冬」有「終」或是「凍」的意思，「立冬」代表著冬天的來臨。到了此節氣，農地工作已告一段落，準備將收成品收藏起來；動物也開始準備以冬眠的方式，度過嚴寒的冬天。「立冬」這一天，在臺灣有一個習俗，就是所謂的「補冬」。因為古人認為冬天的天氣寒冷，需要補充營養，你會發現街頭冬令進補餐廳開始高朋滿座了。除此之外，人們也會以雞料理來補充能量，順便犒賞一家人一年來的辛苦，有句諺語「立冬補冬，補嘴空」就是最好的比喻。

快用 藥膳<星馬肉骨茶紙包雞> 幫自己冬令進補一下吧!"
http://goo.gl/1V5z1m,https://www.facebook.com/kfctaiwan/posts/1030317833707445,2015-11-05T03:00:01+0000,link,肯德基《星馬肉骨茶紙包雞》為上班族打氣,324273577645211_1030317833707445,62,2002,NONE,2002,false,false,ranked,96,false,"加班就是要怒吃，不吃對不起自己！！！
立即到肯德基，大啖《星馬肉骨茶紙包雞》 ，用美食化解工作壓力！
暖心又暖胃的怒吃首選👆 http://goo.gl/1V5z1m"
http://goo.gl/kYg9Pw,https://www.facebook.com/kfctaiwan/posts/1029668677105694,2015-11-03T04:26:33+0000,link,肯德基驚爆超低價,324273577645211_1029668677105694,135,11266,NONE,11266,false,false,ranked,51,false,"用$25替自己加菜？！
肯德基驚爆下殺超低價！買套餐/桶餐只要加$25
即享有新鮮手做金黃脆腿條 or營養滿分台農57號地瓜薯條！
省錢達人超值激推，更多好康優惠請點 >> http://goo.gl/kYg9Pw"
https://www.facebook.com/people2/photos/a.351611401538267.87682.212072168825525/1085410508158349/?type=3,https://www.facebook.com/kfctaiwan/posts/1029323543806874,2015-11-02T11:42:18+0000,photo,人2 x People2,324273577645211_1029323543806874,5,16103,NONE,16103,false,false,ranked,870,false,"【為加班的同事加油送暖，肯德基紙包雞免費送!】
快留言參加活動，就有機會抽中免費肯德基「星馬肉骨茶紙包雞同樂餐」，外送到你的辦公室，替同事暖心又暖胃！

參加活動三步搞定： 
1. 於此活動PO文下方Tag五位同事/好友
2. 並留言「加班辛苦了！讓肯德基星馬肉骨茶紙包雞來幫我們暖心又暖胃！」
3. hashtag 「#KFC肉骨茶紙包雞」
PO文範例：@同事1 @同事2 @同事3 @同事4 @同事5 加班辛苦了! 讓肯德基星馬肉骨茶紙包雞來幫我們暖心又暖胃!
#KFC星馬肉骨茶紙包雞 

活動時間：第一週11/2(一)~11/8(日) 23:59；第二週11/9(一)~11/15(日) 23:59止 
免費份數：總計50份 (每週抽出25份)
抽獎辦法：於11/10(二)、11/17(二)分別抽出各25組名額，可獲得星馬肉骨茶紙包雞同樂餐一份 (星馬肉骨茶紙包雞*3+咔啦脆雞*6+雞汁風味飯*3+原味蛋撻1盒+瓶裝可樂*1，價值699元)。並於KFC粉絲專頁公告中獎名單，肯德基將分別於11/13(五) 、11/20(五)下午15:00-17:00間專送到你的公司，與同事共同分享。 

注意事項： 
1. 台灣肯德基將隨機抽出中獎人，並以Facebook訊息聯繫中獎人，請於指定時間內提供真實姓名、聯絡電話、地址(需先行確認是否於肯德基外送範圍內並回覆)，以上資訊若於指定時間內沒有完整提供即視同自動放棄。 
2. 台灣肯德基外送服務範圍以官方網站公告為準：(請至官網外送網頁點選藍色”外送餐廳範圍”鈕查詢 )
3. 第一週參加抽獎資格以留言時間11/2(一)至11/8(日) 23:59為準；第二週參加抽獎資格以留言時間11/9(一) 00:00至11/15(日) 23:59為準；當週中獎人恕不重複中獎，第一週所有留言無法參與第二週抽獎，第一週沒有抽中者歡迎重新留言參加第二週活動。
4. 肯德基將以中獎者Facebook名稱於11/10(二)、11/17(二)公告中獎名單。
5. 中獎者本人獲得餐點當天於Facebook上傳與同事分享星馬肉骨茶紙包雞的用餐照片，設定公開權限，並 hashtag 「#KFC星馬肉骨茶紙包雞來了」，即可再獲得200元肯德基現金禮券，參與此分享活動即同意台灣肯德基有權分享與使用此活動照片。
6. 本活動如有任何因電腦、網路、電話、技術或其他不可歸責於主辦單位之事由，而使參與本活動者所登錄之資料有所遺失、錯誤、無法辨識或毀損所導致資料無效之狀況，台灣肯德基皆不負任何法律責任，參加者與得獎者亦不得異議。 
7. 如遇不可抗力之因素，主辦單位保有隨時修改活動辦法及獎項或終止本活動或變更同等價值商品之權利。
8. 中獎人提供之個人資料僅供本活動聯繫使用。
9. 參與此活動即代表已詳讀且同意各注意事項內容。"
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1027770910628804/?type=3,https://www.facebook.com/kfctaiwan/posts/1027770910628804:0,2015-10-30T08:28:33+0000,photo,Timeline Photos,324273577645211_1027770910628804,11,276,NONE,276,false,false,ranked,12,false,"如何一次擁有肯德基的明星商品？來來來，讓小編告訴你
只要到肯德基買桶餐嗶悠遊卡，即可以$20元加購兩顆原味蛋撻。
香脆炸雞配上香濃蛋撻，好吃拿不完！

詳細辦法以店內公告為主，五塊雞桶恕不適用。"
http://goo.gl/DB1WyA,https://www.facebook.com/kfctaiwan/posts/1025780024161226,2015-10-26T16:01:00+0000,link,肯德基天天省早餐優惠$49元起,324273577645211_1025780024161226,64,10015,NONE,10015,false,false,ranked,31,false,"還沒吃過KFC肯德基早餐嗎？已累積1萬多名網友按讚的超省優惠，
10/27~11/2最後優惠倒數別錯過！大口咬下香嫩Juicy的吮指嫩雞蛋堡，
配上義大利最受歡迎的LAVAZZA好咖啡，
50元有找的銅板價格，買到就你賺到！更多早餐優惠→ http://goo.gl/DB1WyA"
https://www.facebook.com/kfctaiwan/photos/a.327640700641832.75606.324273577645211/1024106050995290/?type=3,https://www.facebook.com/kfctaiwan/posts/1024106090995286,2015-10-23T02:42:09+0000,photo,KFC's cover photo,324273577645211_1024106050995290,7,237,NONE,237,false,false,ranked,7,false,
https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/1023625401043355/?type=3,https://www.facebook.com/kfctaiwan/posts/1023625401043355:0,2015-10-22T06:49:26+0000,photo,Timeline Photos,324273577645211_1023625401043355,32,470,NONE,470,false,false,ranked,13,false,"“出門太趕忘記帶錢包　肚子又餓怎麼辦？
別擔心！快來肯德基嗶悠遊卡，一樣可以享受美食！2016/5/31前還可享獨家優惠！
快來肯德基~嗶~一下！”

詳細活動辦法請見此  http://www.kfcclub.com.tw/News/Detail116.html"
http://goo.gl/00mUC9,https://www.facebook.com/kfctaiwan/posts/1022626677809894,2015-10-20T16:00:01+0000,link,肯德基《星馬肉骨茶紙包雞》享受異國美食免出國,324273577645211_1022626677809894,193,2769,NONE,2769,false,false,ranked,155,false,"吃貨注意!!! 正宗星馬肉骨茶風味來襲，沒吃過別說你是吃貨

肯德基《星馬肉骨茶紙包雞》，獨家封烤技術，鮮甜肉汁瞬間封存，藥膳精華，香氣逼人

熱騰騰美味，暖心又暖胃 👉 http://goo.gl/00mUC9"
https://www.facebook.com/kfctaiwan/photos/a.327640700641832.75606.324273577645211/1022591967813365/?type=3,https://www.facebook.com/kfctaiwan/posts/1022592047813357,2015-10-20T02:14:47+0000,photo,KFC's cover photo,324273577645211_1022591967813365,12,242,NONE,242,false,false,ranked,8,false,
