message,link,permalink_url,created_time,type,name,id,shares/count,reactions/summary/total_count,reactions/summary/viewer_reaction,likes/summary/total_count,likes/summary/can_like,likes/summary/has_liked,comments/summary/order,comments/summary/total_count,comments/summary/can_comment
"Good Morning♥
肯德基早餐給你一天的活力！",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/685880824817816/?type=3,https://www.facebook.com/kfctaiwan/posts/688105774595321:0,2014-05-12T02:00:01+0000,photo,Timeline Photos,324273577645211_685880824817816,,261,NONE,261,false,false,ranked,2,false
"祝天下的媽媽【 母．親．節．快．樂 ♥ 】
一起留言《媽咪我愛您！》，讓團長看看粉絲有多愛媽咪 
(害羞者請按讚！)

網路訂餐會員獨享 滿$700送百事可樂1瓶
https://www.4128000.com.tw/index_kfc.aspx",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/680687072003858/?type=3,https://www.facebook.com/kfctaiwan/posts/686923884713510:0,2014-05-10T16:00:01+0000,photo,Timeline Photos,324273577645211_680687072003858,4,320,NONE,320,false,false,ranked,10,false
"溫馨歡聚不必再去餐廳人擠人～和家人團聚同樂享用【手扒雞同樂餐】

＊ 粉絲們別錯過 好禮三重送！
網路訂餐：https://www.4128000.com.tw/index_kfc.aspx.com.tw/index_kfc.aspx",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/680683868670845/?type=3,https://www.facebook.com/kfctaiwan/posts/686073368131895:0,2014-05-09T16:00:00+0000,photo,Timeline Photos,324273577645211_680683868670845,17,409,NONE,409,false,false,ranked,5,false
"在五月感恩的季節，最適合與家人分享肯德基餐點，特別推出主力商品炸雞、紙包雞與雙色蛋撻禮盒組合的『溫馨分享餐』

肯德基三重送活動，讓全家一起吃好味、拿好康！
★ 第一重：於兩天前電話或網路預訂外送或自取，滿799元即贈「原味蛋撻禮盒+上校雞塊分享盒」兌換卷
★ 第二重：網路訂餐會員獨享，滿700元送1.25L百事可樂一瓶
★ 第三重：訂餐再加送外送優惠劵
https://www.4128000.com.tw/index_kfc.aspx",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/680682005337698/?type=3,https://www.facebook.com/kfctaiwan/posts/685715674834331:0,2014-05-09T02:00:00+0000,photo,Timeline Photos,324273577645211_680682005337698,8,285,NONE,285,false,false,ranked,0,false
,https://www.facebook.com/chinatrust.tw/photos/a.211741545531848.58569.210121695693833/706377166068281/?type=3,https://www.facebook.com/kfctaiwan/posts/685155964890302,2014-05-08T03:32:52+0000,photo,中國信託優惠情報“讚”,324273577645211_685155964890302,1,177,NONE,177,false,false,ranked,4,false
"為好好犒賞媽咪，全家人一同享用美味「義式香草紙包九塊雞派對餐」
多人歡聚享用不必再去餐廳人擠人，給媽媽一個輕鬆享受異國料裡的母親節！

＊ 為了節省等待時間，請提前1小時預約訂外帶，購買派對餐 內用/外帶送2杯中可
＊ 2天前預購 滿$799送【原味蛋撻禮盒+上校雞塊分享盒】，訂餐專線：4128-000",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/680681008671131/?type=3,https://www.facebook.com/kfctaiwan/posts/685126811559884:0,2014-05-08T02:00:01+0000,photo,Timeline Photos,324273577645211_680681008671131,17,350,NONE,350,false,false,ranked,9,false
"吃了飽飽一餐沒有甜點就不對勁哇！來顆香蕉卡士達蛋撻吧！
甜而不膩完美口感，大口咬下好滿足！",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/680680412004524/?type=3,https://www.facebook.com/kfctaiwan/posts/684553928283839:0,2014-05-07T02:00:01+0000,photo,Timeline Photos,324273577645211_680680412004524,9,506,NONE,506,false,false,ranked,6,false
完整封存雞肉的鮮嫩多汁，最適合將錫箔紙中的雞汁拌入肯德基特製的雞汁風味飯，一點而也都不浪費！,https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/680679935337905/?type=3,https://www.facebook.com/kfctaiwan/posts/683931475012751:0,2014-05-06T02:00:01+0000,photo,Timeline Photos,324273577645211_680679935337905,11,655,NONE,655,false,false,ranked,9,false
"哇！好可愛的禮盒設計！
裝著熱熱好吃的香蕉卡士達蛋撻送給媽咪最感心了！
全家人一起享受美味甜點～好幸福哇！",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/680679072004658/?type=3,https://www.facebook.com/kfctaiwan/posts/683327078406524:0,2014-05-05T02:00:00+0000,photo,Timeline Photos,324273577645211_680679072004658,5,426,NONE,426,false,false,ranked,1,false
"完整封存全雞的精華，鮮嫩多汁且不辣的口味，加上預先切塊的貼心設計，現在在家享用異國料理好簡單～
＊ 為節省等待時間，請提前1小時預訂，現在來店自取紙包九塊雞系列餐點，免費贈送兩杯中可！

團長出題！粉絲們準備來接招～
今天分享的餐點是《紙包＿塊雞分享餐！》
知道的粉絲請．搶．答！",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/680662772006288/?type=3,https://www.facebook.com/kfctaiwan/posts/682518755154023:0,2014-05-03T16:00:01+0000,photo,Timeline Photos,324273577645211_680662772006288,28,523,NONE,523,false,false,ranked,54,false
"你一口鮮嫩多汁「紙包雞」、我一口咔滋咔滋「咔啦雞腿堡」
【紙包雞雙人分享餐】溫馨上市 ♥

＊ 訂外送就送【外送專屬優惠券】送完為止
網路訂餐：https://www.4128000.com.tw/index_kfc.aspx",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/680662122006353/?type=3,https://www.facebook.com/kfctaiwan/posts/681995375206361:0,2014-05-02T16:00:00+0000,photo,Timeline Photos,324273577645211_680662122006353,16,401,NONE,401,false,false,ranked,3,false
"肯德基好禮三重送　送　 送
第一重：兩天前預購 滿$799送【原味蛋撻禮盒+上校雞塊分享盒】
第二重：網路訂餐會員獨享 滿$700送百事可樂1瓶
第三重：訂外送就送【外送優惠券】

網路訂餐：https://www.4128000.com.tw/index_kfc.aspx",https://www.facebook.com/kfctaiwan/photos/a.329668497105719.76003.324273577645211/677817528957479/?type=3,https://www.facebook.com/kfctaiwan/posts/681695728569659:0,2014-05-02T02:00:01+0000,photo,Timeline Photos,324273577645211_677817528957479,9,224,NONE,224,false,false,ranked,7,false
